customer_id,signup_date,region,signup_channel,age,gender
0278-YXOOG,2026-03-27,East,organic,28,Male
3212-KXOCR,2022-04-29,East,organic,50,Male
4598-XLKNJ,2024-08-02,Central,referral,62,Female
6380-ARCEH,2026-08-04,East,referral,27,Male
3679-XASPY,2026-07-31,West,organic,30,Female
7123-WQUHX,2023-07-04,Central,paid_search,33,Male
5386-THSLQ,2021-02-16,West,paid_search,60,Female
3192-NQECA,2021-01-15,North,paid_search,38,Male
6180-YBIQI,2026-04-10,South,organic,32,Male
6728-DKUCO,2020-08-22,West,partner,33,Female
9750-BOOHV,2023-12-24,East,referral,44,Female
8597-CWYHH,2023-02-06,South,social,36,Male
2848-YXSMW,2020-09-01,South,organic,27,Male
0486-HECZI,2022-02-15,North,partner,52,Male
4549-ZDQYY,2022-05-13,South,social,37,Female
5712-AHQNN,2023-01-19,West,referral,31,Female
4846-WHAFZ,2023-07-29,North,partner,69,Female
5256-SKJGO,2021-05-16,Central,referral,49,Female
3071-VBYPO,2026-05-25,South,referral,27,Male
9560-BBZXK,2023-09-05,Central,social,24,Female
5299-RULOA,2025-10-30,South,referral,23,Female
8402-OOOHJ,2023-03-23,Central,referral,50,Female
9445-ZUEQE,2024-05-23,East,social,45,Male
1091-SOZGA,2022-01-12,Central,referral,51,Female
2928-HLDBA,2026-03-08,North,organic,45,Female
0404-SWRVG,2026-06-09,West,partner,36,Male
6497-TILVL,2026-01-19,South,partner,43,Female
7219-TLZHO,2026-04-25,South,paid_search,48,Female
4622-YNKIJ,2023-11-28,North,partner,36,Male
4412-YLTKF,2024-06-16,Central,organic,61,Female
6734-PSBAW,2020-08-23,West,paid_search,55,Male
3930-ZGWVE,2026-08-01,Central,social,51,Male
2639-UGMAZ,2020-10-08,East,partner,72,Male
2876-GZYZC,2025-08-04,North,partner,36,Female
6207-WIOLX,2024-08-03,South,partner,26,Female
8587-XYZSF,2021-02-07,East,organic,39,Male
3091-FYHKI,2026-07-21,North,social,49,Male
2372-HWUHI,2026-06-21,Central,paid_search,50,Male
7799-LGRDP,2023-02-15,Central,partner,36,Female
7850-VWJUU,2024-09-18,East,social,32,Female
3774-VBNXY,2021-05-05,East,paid_search,38,Female
6217-KDYWC,2021-11-23,West,partner,51,Male
0390-DCFDQ,2026-07-25,West,organic,68,Female
3146-MSEGF,2020-08-30,North,partner,79,Female
4080-OGPJL,2025-12-25,East,referral,30,Female
1095-WGNGG,2021-07-28,West,organic,51,Female
2636-SJDOU,2021-04-22,Central,partner,39,Male
1131-QQZEB,2020-10-04,East,social,79,Male
5716-EZXZN,2021-03-26,Central,organic,31,Female
6837-BJYDQ,2026-05-19,East,social,23,Male
2135-RXIHG,2026-07-20,South,social,39,Male
6440-DKQGE,2024-03-13,East,referral,58,Male
3466-BYAVD,2025-06-03,West,social,42,Male
3780-YVMFA,2026-01-01,Central,paid_search,54,Female
3874-EQOEP,2026-01-28,South,partner,49,Male
1679-JRFBR,2020-10-28,South,partner,54,Female
9073-ZZIAY,2021-06-22,West,referral,33,Male
3077-RSNTJ,2026-03-03,West,social,57,Female
6551-GNYDG,2025-06-26,South,social,30,Female
9167-APMXZ,2024-10-21,West,partner,38,Female
2749-CTKAJ,2024-11-13,North,referral,47,Male
6371-NZYEG,2025-04-28,South,social,32,Male
7554-NEWDD,2025-11-05,Central,referral,31,Male
8992-VONJD,2025-07-21,East,partner,26,Female
0867-MKZVY,2024-12-31,Central,organic,22,Female
4482-EWFMI,2026-06-30,South,paid_search,40,Female
4648-YPBTM,2022-03-26,South,social,58,Male
2907-ILJBN,2025-10-10,Central,referral,30,Female
6345-FZOQH,2020-11-30,Central,referral,38,Male
3376-BMGFE,2026-04-25,Central,social,56,Female
5997-OPVFA,2020-08-24,South,paid_search,50,Male
3445-HXXGF,2021-11-10,Central,paid_search,66,Male
1159-WFSGR,2025-04-22,East,organic,40,Female
7654-YWJUF,2023-02-12,Central,paid_search,27,Male
1875-QIVME,2026-07-11,Central,referral,31,Female
6727-IOTLZ,2025-06-22,East,partner,31,Male
0691-JVSYA,2022-03-30,South,paid_search,44,Female
5918-VUKWP,2023-12-31,Central,referral,29,Female
1744-JHKYS,2023-11-01,East,paid_search,31,Female
2656-FMOKZ,2025-05-19,East,social,74,Female
2070-FNEXE,2026-02-09,West,referral,63,Female
5947-SGKCL,2025-06-09,Central,organic,46,Female
3712-PKXZA,2021-08-03,North,partner,36,Male
6317-YPKDH,2026-07-23,Central,paid_search,34,Female
6582-OIVSP,2026-08-01,East,social,41,Female
9367-WXLCH,2025-12-26,North,paid_search,44,Male
5524-KHNJP,2023-11-23,South,social,22,Male
1918-ZBFQJ,2025-07-22,East,partner,54,Female
1024-GUALD,2026-08-04,West,organic,55,Female
4827-USJHP,2025-01-03,East,partner,44,Male
8167-GJLRN,2026-06-15,North,partner,43,Male
0956-SYCWG,2025-08-15,East,referral,47,Female
8017-UVSZU,2023-05-04,South,organic,38,Female
7100-FQPRV,2023-01-25,South,referral,35,Male
2472-OVKUP,2026-02-21,West,partner,35,Male
2984-RGEYA,2020-12-04,Central,organic,27,Female
9680-NIAUV,2020-08-30,North,paid_search,53,Female
2146-EGVDT,2021-09-23,West,partner,33,Male
2604-IJPDU,2025-01-07,East,referral,32,Female
9178-JHUVJ,2024-09-12,South,social,57,Male
6168-YBYNP,2021-09-20,West,paid_search,40,Male
7255-SSFBC,2020-08-31,South,partner,45,Male
3645-DEYGF,2026-08-13,West,referral,31,Male
9323-HGFWY,2024-06-10,East,paid_search,32,Female
8544-GOQSH,2025-07-08,North,social,48,Female
3363-DTIVD,2020-10-10,West,partner,38,Male
7018-WBJNK,2025-08-04,Central,referral,27,Male
9142-KZXOP,2022-12-23,East,paid_search,52,Male
7674-YTAFD,2023-11-25,West,social,36,Female
6348-SNFUS,2020-08-20,North,organic,46,Male
1285-OKIPP,2026-07-23,South,organic,34,Male
7825-ECJRF,2025-02-06,South,organic,42,Female
1347-KTTTA,2021-05-16,West,partner,50,Male
7841-TZDMQ,2026-07-14,South,organic,54,Male
4195-NZGTA,2026-07-25,West,partner,29,Female
7157-SMCFK,2021-08-07,South,organic,46,Male
4709-LKHYG,2024-03-27,West,partner,55,Female
2504-DSHIH,2024-10-03,South,partner,74,Male
0699-NDKJM,2021-11-20,East,social,27,Female
9286-BHDQG,2020-09-01,North,paid_search,29,Male
0230-WEQUW,2021-02-18,West,organic,29,Male
2040-LDIWQ,2021-04-10,North,partner,25,Male
6496-JDSSB,2025-12-24,Central,referral,49,Female
9408-SSNVZ,2026-05-03,Central,social,57,Female
4443-EMBNA,2020-10-11,East,organic,41,Female
6469-MRVET,2026-08-10,Central,referral,44,Male
0742-MOABM,2026-05-09,Central,organic,50,Male
5961-VUSRV,2025-09-12,North,referral,37,Female
6778-JFCMK,2024-08-19,West,organic,39,Male
6341-JVQGF,2024-02-10,South,partner,43,Female
2232-DMLXU,2026-07-31,Central,partner,33,Female
4811-JBUVU,2024-02-29,Central,organic,24,Male
0945-TSONX,2022-10-01,Central,referral,43,Female
2651-ZCBXV,2022-02-28,East,referral,52,Male
3316-UWXUY,2022-06-20,North,partner,24,Male
8937-RDTHP,2026-07-19,North,referral,30,Male
7083-MIOPC,2020-08-21,North,referral,31,Female
1984-GPTEH,2024-04-04,Central,social,51,Female
1251-KRREG,2026-06-27,East,referral,40,Male
0621-JFHOL,2025-11-11,South,social,41,Female
9903-LYSAB,2025-02-20,East,social,45,Male
0094-OIFMO,2025-10-12,North,social,66,Female
9227-UAQFT,2025-05-14,East,social,48,Male
7301-ABVAD,2020-08-23,East,partner,23,Female
6614-FHDBO,2020-08-25,West,referral,26,Male
7576-ASEJU,2023-04-13,North,referral,52,Female
9058-HRZSV,2021-03-20,Central,paid_search,72,Female
4522-AKYLR,2025-08-14,North,social,72,Female
0221-WMXNQ,2026-05-17,East,partner,61,Male
0303-UNCIP,2023-03-20,South,social,23,Male
9947-OTFQU,2025-06-11,West,partner,68,Male
0322-YINQP,2026-08-10,West,referral,49,Male
0959-WHOKV,2023-02-23,North,paid_search,32,Male
4075-JFPGR,2022-05-30,East,social,34,Female
4629-NRXKX,2026-07-03,East,partner,30,Female
9514-JDSKI,2026-07-19,East,social,63,Male
3282-ZISZV,2024-01-14,North,referral,32,Male
3675-YDUPJ,2025-10-20,North,referral,31,Male
4111-BNXIF,2021-02-07,East,organic,37,Female
7017-VFHAY,2021-07-30,South,organic,53,Female
6655-LHBYW,2022-07-08,East,partner,50,Male
4959-JOSRX,2026-07-10,North,paid_search,33,Female
5046-NUHWD,2024-04-08,West,organic,71,Female
7273-TEFQD,2026-06-01,North,partner,75,Male
3606-TWKGI,2025-07-22,West,partner,63,Male
7529-ZDFXI,2021-12-13,Central,organic,65,Male
7605-BDWDC,2024-01-28,South,referral,41,Female
1950-KSVVJ,2022-11-22,North,referral,29,Female
0123-CRBRT,2021-07-26,North,organic,50,Female
6292-TOSSS,2022-06-18,South,partner,33,Male
3197-ARFOY,2025-02-15,North,paid_search,66,Female
6323-AYBRX,2021-10-07,Central,social,25,Male
7014-ZZXAW,2020-10-04,Central,organic,40,Female
4385-GZQXV,2025-05-01,Central,social,65,Female
7633-MVPUY,2021-12-07,Central,organic,54,Male
6366-ZGQGL,2026-08-10,East,partner,37,Male
4716-HHKQH,2024-12-22,South,partner,79,Male
5940-AHUHD,2026-08-11,East,referral,54,Male
6432-TWQLB,2026-03-20,South,paid_search,41,Male
4484-GLZOU,2022-05-17,Central,organic,24,Female
3179-GBRWV,2024-12-04,East,paid_search,75,Male
8645-KWHJO,2025-06-29,South,partner,29,Male
4130-MZLCC,2026-03-19,West,partner,55,Female
0314-TKOSI,2026-02-24,South,organic,55,Female
8229-MYEJZ,2025-11-16,South,organic,39,Female
2080-SRCDE,2026-07-26,South,referral,54,Female
9577-WJVCQ,2021-01-07,North,referral,31,Female
9512-UIBFX,2025-02-21,North,social,47,Male
6202-DYYFX,2024-10-24,East,partner,36,Female
3808-HFKDE,2025-01-11,Central,referral,30,Female
5583-SXDAG,2026-08-07,South,referral,31,Male
3488-PGMQJ,2025-12-23,West,partner,70,Male
3580-REOAC,2025-10-20,South,referral,34,Male
7534-BFESC,2024-08-29,South,partner,76,Male
3727-OWVYD,2023-10-11,North,organic,34,Male
2294-SALNE,2024-10-05,East,social,26,Male
4847-TAJYI,2026-02-23,West,social,66,Female
1563-IWQEX,2025-08-30,South,referral,36,Female
8203-XJZRC,2026-08-11,East,referral,25,Male
6556-DBKZF,2020-10-08,East,referral,43,Female
6851-WEFYX,2023-10-12,South,social,68,Male
2985-JUUBZ,2023-05-04,West,organic,35,Male
6390-DSAZX,2026-08-04,East,paid_search,53,Female
0895-LMRSF,2024-09-30,North,partner,44,Male
8098-LLAZX,2026-04-20,East,partner,76,Female
8266-VBFQL,2026-04-29,South,paid_search,32,Male
8181-YHCMF,2020-12-30,West,organic,23,Female
2240-HSJQD,2023-07-08,South,referral,34,Male
1248-DYXUB,2022-04-29,Central,partner,56,Male
0265-EDXBD,2023-12-19,West,partner,66,Male
4115-BNPJY,2024-04-17,North,organic,51,Male
3167-SNQPL,2023-07-08,East,organic,66,Male
4091-TVOCN,2022-09-15,Central,paid_search,35,Male
1098-TDVUQ,2026-08-11,South,referral,33,Female
7277-OZCGZ,2024-11-14,West,organic,56,Female
1557-EMYVT,2023-01-30,West,organic,43,Female
2799-ARNLO,2026-03-24,West,referral,65,Female
7563-BIUPC,2026-03-20,North,paid_search,32,Male
5027-YOCXN,2022-06-10,South,partner,54,Male
3973-SKMLN,2020-09-26,South,organic,23,Male
2321-OMBXY,2023-07-09,South,social,24,Female
2840-XANRC,2024-09-07,Central,organic,78,Male
6745-JEFZB,2023-09-29,North,referral,22,Male
5020-ZSTTY,2022-02-26,East,social,66,Female
9880-TDQAC,2020-08-30,Central,partner,58,Female
8705-WZCYL,2026-08-15,Central,social,37,Male
7102-JJVTX,2025-12-05,West,organic,48,Female
8626-PTQGE,2020-12-08,Central,partner,40,Male
4983-CLMLV,2022-05-18,East,organic,25,Female
5701-YVSVF,2025-10-16,West,partner,64,Female
5804-LEPIM,2026-07-05,East,paid_search,60,Female
5697-GOMBF,2024-05-14,North,partner,62,Female
2739-CACDQ,2025-03-26,North,organic,71,Female
9385-EHGDO,2023-10-16,Central,social,34,Female
9498-FIMXL,2026-01-09,North,referral,35,Female
2379-GYFLQ,2022-10-18,South,referral,57,Male
0122-OAHPZ,2026-01-25,West,referral,44,Female
2868-SNELZ,2026-07-02,East,organic,44,Female
4322-RCYMT,2021-01-16,East,paid_search,34,Male
6680-NENYN,2023-02-15,Central,partner,36,Female
2088-IEBAU,2020-12-20,West,social,47,Female
7982-VCELR,2023-08-25,Central,social,23,Female
1343-EHPYB,2021-05-20,West,referral,30,Male
6035-BXTTY,2023-12-23,Central,paid_search,72,Female
6885-PKOAM,2020-10-16,West,referral,45,Female
7520-HQWJU,2021-02-21,East,referral,25,Female
9639-BUJXT,2021-06-04,Central,paid_search,51,Male
5924-SNGKP,2023-03-28,Central,paid_search,42,Female
0021-IKXGC,2026-08-05,North,social,65,Female
2034-GDRCN,2026-06-27,Central,paid_search,49,Female
8966-SNIZF,2020-10-22,West,organic,58,Female
6243-OZGFH,2024-09-17,Central,partner,37,Female
4654-DLAMQ,2021-05-01,West,partner,63,Female
0513-RBGPE,2023-08-09,Central,paid_search,33,Male
5160-UXJED,2025-03-30,South,partner,43,Male
4115-NZRKS,2026-02-01,North,social,65,Female
0219-YTZUE,2026-05-12,North,social,39,Male
0623-IIHUG,2024-11-25,South,partner,79,Female
4572-DVCGN,2025-11-14,South,referral,23,Female
3351-NGXYI,2025-05-05,East,organic,63,Female
8984-EYLLL,2021-04-27,North,referral,49,Male
9057-MSWCO,2024-05-21,North,social,61,Male
9833-TGFHX,2023-02-28,East,social,25,Male
9294-TDIPC,2026-03-19,West,partner,31,Male
5229-DTFYB,2023-03-24,North,social,37,Female
0104-PPXDV,2021-11-09,East,referral,43,Male
5176-LMJXE,2022-09-22,West,organic,58,Female
3583-KRKMD,2025-03-08,West,referral,47,Male
1010-DIAUQ,2026-03-30,North,paid_search,41,Male
9069-LGEUL,2024-10-10,West,social,24,Male
7302-ZHMHP,2026-08-01,North,partner,24,Female
9571-EDEBV,2020-09-26,South,referral,27,Male
3520-FJGCV,2020-08-20,South,paid_search,46,Male
6563-VRERX,2023-11-19,Central,organic,34,Male
0259-GBZSH,2026-06-24,North,organic,30,Male
6122-EFVKN,2024-08-31,West,paid_search,46,Male
2805-EDJPQ,2021-12-21,Central,paid_search,52,Female
6862-CQUMB,2023-08-14,Central,paid_search,38,Male
7156-MXBJE,2023-01-18,South,social,54,Female
6158-HDPXZ,2026-08-11,North,partner,49,Male
9601-BRXPO,2024-08-04,South,referral,48,Female
2863-IMQDR,2021-07-21,West,organic,54,Female
5686-CMAWK,2025-03-27,North,social,28,Male
5651-CRHKQ,2023-03-23,West,partner,50,Female
6905-NIQIN,2026-07-28,South,referral,57,Male
8204-YJCLA,2020-08-29,West,referral,78,Male
5167-ZFFMM,2026-08-12,West,referral,43,Male
6583-SZVGP,2022-08-18,East,social,49,Male
4895-TMWIR,2025-09-28,West,partner,62,Male
0533-BNWKF,2022-01-26,Central,referral,61,Female
1708-PBBOA,2023-03-06,South,partner,55,Female
8782-LKFPK,2022-12-19,East,social,52,Male
5522-JBWMO,2026-08-04,West,paid_search,36,Male
3597-MVHJT,2024-06-12,Central,social,49,Female
9774-NRNAU,2024-06-12,East,partner,63,Male
0224-RLWWD,2026-06-28,South,organic,67,Female
9967-ATRFS,2025-01-24,Central,social,51,Female
3951-NJCVI,2023-03-12,Central,partner,74,Female
2977-CEBSX,2021-02-25,East,paid_search,43,Female
0177-PXBAT,2023-11-18,North,paid_search,60,Male
6599-CEBNN,2023-11-02,South,social,28,Female
2519-ERQOJ,2023-11-18,East,social,65,Male
5876-QMYLD,2024-10-12,West,organic,42,Female
2277-AXSDC,2024-01-04,West,partner,41,Female
9442-JTWDL,2025-10-01,Central,organic,47,Female
0979-PHULV,2020-12-06,North,paid_search,53,Male
3067-SVMTC,2021-01-13,East,referral,27,Female
5495-GPSRW,2025-01-03,West,paid_search,37,Male
7606-BPHHN,2020-09-06,Central,referral,48,Male
4742-DRORA,2021-09-10,North,referral,52,Male
0111-KLBQG,2024-01-05,Central,referral,62,Male
4800-VHZKI,2026-08-05,North,social,51,Female
7989-CHGTL,2026-07-22,North,organic,53,Male
0334-GDDSO,2026-06-03,Central,partner,63,Male
4163-NCJAK,2022-11-04,West,paid_search,44,Female
5233-AOZUF,2024-04-06,Central,organic,31,Female
5973-EJGDP,2022-05-31,West,referral,42,Male
1996-DBMUS,2022-09-08,West,paid_search,60,Female
7916-VCCPB,2025-04-21,East,organic,25,Female
4686-GEFRM,2020-11-04,East,referral,50,Male
5249-QYHEX,2023-05-06,East,social,42,Female
0578-SKVMF,2024-11-15,South,referral,56,Female
5564-NEMQO,2026-07-22,Central,partner,70,Female
2233-FAGXV,2026-04-03,South,organic,55,Female
5605-IYGFG,2026-02-11,West,organic,38,Female
7663-ZTEGJ,2024-04-12,West,paid_search,43,Male
3935-TBRZZ,2023-01-06,East,partner,46,Male
8111-BKVDS,2025-10-24,West,social,43,Female
2055-SIFSS,2022-02-13,North,organic,63,Female
2806-MLNTI,2022-05-15,South,referral,77,Male
8734-DKSTZ,2025-10-31,East,paid_search,49,Female
4360-PNRQB,2025-03-04,South,partner,58,Male
6152-ONASV,2020-12-19,Central,paid_search,30,Female
9063-ZGTUY,2021-07-26,Central,referral,31,Female
7781-HVGMK,2020-08-28,West,social,39,Female
2181-UAESM,2026-07-08,South,referral,48,Male
2957-LOLHO,2025-08-29,North,partner,57,Male
6048-NJXHX,2023-03-31,West,partner,51,Male
2320-SLKMB,2024-07-09,Central,referral,51,Female
4980-URKXC,2023-09-06,East,paid_search,38,Male
4376-KFVRS,2020-08-20,Central,social,45,Male
5886-VLQVU,2023-10-01,Central,paid_search,29,Male
3577-AMVUX,2026-08-03,East,social,39,Male
0771-WLCLA,2025-04-24,South,social,28,Female
5628-RKIFK,2022-08-09,North,referral,66,Female
0206-TBWLC,2022-03-12,West,social,53,Female
2937-FTHUR,2025-02-17,East,partner,51,Female
1910-FMXJM,2023-08-24,North,partner,40,Female
7752-XUSCI,2021-09-04,North,organic,22,Female
4110-PFEUZ,2026-07-20,Central,organic,25,Female
0732-OCQOC,2022-05-07,South,organic,26,Female
5168-MSWXT,2025-12-27,South,organic,48,Male
1090-ESELR,2020-09-15,West,social,29,Male
8592-PLTMQ,2021-04-27,South,organic,31,Female
5760-WRAHC,2024-11-11,Central,organic,78,Female
8847-GEOOQ,2021-09-09,West,social,54,Male
0256-LTHVJ,2024-04-23,South,paid_search,50,Female
4785-FCIFB,2021-08-11,South,social,33,Female
8313-NDOIA,2024-09-02,Central,social,43,Female
5149-CUZUJ,2024-04-20,East,referral,29,Male
0942-KOWSM,2024-02-18,Central,social,53,Female
4237-CLSMM,2026-07-05,South,social,25,Male
1452-VOQCH,2026-08-15,North,organic,49,Male
4719-UMSIY,2026-03-10,Central,organic,40,Male
6614-VBEGU,2024-08-29,South,paid_search,50,Female
0880-TKATG,2026-05-08,Central,referral,38,Male
3811-VBYBZ,2026-01-25,West,partner,27,Male
1480-BKXGA,2020-08-18,South,organic,60,Male
2996-XAUVF,2020-10-29,West,organic,45,Male
9076-AXYIK,2021-04-29,North,paid_search,63,Male
5968-XQIVE,2020-09-01,South,paid_search,35,Male
8896-RAZCR,2023-01-11,South,social,34,Female
4640-UHDOS,2025-07-31,West,paid_search,39,Female
4933-IKULF,2025-03-21,East,social,74,Female
3583-EKAPL,2026-07-28,West,organic,32,Male
1304-BCCFO,2025-11-25,East,organic,32,Male
4104-PVRPS,2024-08-22,West,social,22,Male
9399-APLBT,2026-08-06,North,paid_search,56,Female
2359-KMGLI,2024-09-06,West,organic,30,Male
3780-DDGSE,2023-09-18,North,referral,76,Male
4431-EDMIQ,2026-02-02,North,organic,27,Female
0306-JAELE,2026-03-26,West,organic,58,Male
6227-HWPWX,2025-05-29,North,referral,39,Female
0486-LGCCH,2025-10-14,West,referral,34,Male
0447-BEMNG,2022-09-07,North,referral,36,Female
4612-SSVHJ,2025-01-07,North,referral,65,Female
5168-MQQCA,2020-09-11,Central,organic,33,Female
5949-XIKAE,2025-12-24,North,paid_search,31,Female
7971-HLVXI,2020-08-19,Central,paid_search,51,Male
9094-AZPHK,2025-05-20,South,paid_search,24,Female
3649-JPUGY,2020-09-11,West,referral,37,Male
4472-LVYGI,2026-09-03,Central,paid_search,51,Female
8372-JUXUI,2026-08-11,North,partner,52,Male
3552-CTCYF,2021-06-16,South,social,40,Male
6778-YSNIH,2026-06-30,East,partner,30,Female
0388-EOPEX,2026-06-23,Central,paid_search,34,Female
5756-OZRIO,2021-08-15,North,referral,72,Male
6579-JPICP,2026-07-29,North,referral,46,Male
8205-OTCHB,2024-11-15,South,partner,32,Male
4134-BSXLX,2024-04-22,South,paid_search,45,Male
0505-SPOOW,2020-11-15,South,organic,46,Female
6235-VDHOM,2026-04-04,North,partner,78,Female
7783-YKGDV,2025-09-13,Central,partner,35,Female
4374-YMUSQ,2023-11-05,West,organic,57,Male
4513-CXYIX,2020-10-04,North,partner,73,Female
3957-HHLMR,2020-10-31,East,organic,47,Female
7803-XOCCZ,2022-04-24,West,partner,46,Female
5736-YEJAX,2020-11-17,West,partner,52,Male
5609-CEBID,2025-01-06,Central,organic,69,Female
8981-FJGLA,2025-09-20,West,partner,51,Male
7218-HKQFK,2026-07-06,West,organic,35,Male
4636-QRJKY,2026-03-15,North,paid_search,40,Female
1135-LMECX,2026-07-30,North,partner,40,Female
4332-MUOEZ,2024-12-26,West,paid_search,79,Male
8535-SFUTN,2021-08-08,Central,social,44,Male
5956-VKDTT,2026-03-31,South,social,76,Female
8677-HDZEE,2022-01-04,West,social,51,Female
2475-MROZF,2024-03-13,South,organic,50,Male
9412-GHEEC,2023-05-07,East,organic,25,Male
3482-ABPKK,2024-05-05,West,organic,57,Female
6705-LXORM,2026-04-07,West,referral,61,Female
0257-ZESQC,2024-05-21,North,referral,69,Female
7531-GQHME,2025-09-05,Central,partner,40,Male
5174-ITUMV,2021-01-28,Central,paid_search,52,Male
4109-CYRBD,2024-04-17,East,organic,62,Male
0913-XWSCN,2022-02-06,South,partner,56,Male
6825-UYPFK,2024-09-20,East,partner,37,Female
8397-MVTAZ,2023-10-22,Central,partner,30,Male
0750-EBAIU,2022-04-19,East,paid_search,35,Male
8606-CIQUL,2020-09-15,North,referral,78,Male
3571-DPYUH,2021-10-22,North,social,47,Male
