customer_id,plan_type,contract_type,billing_cycle,payment_method,monthly_charge,tenure_months,status,start_date,end_date
9489-DEDVP,Pro,Two year,Annual,Credit card (automatic),69.2,70,active,2020-10-24,
9867-JCZSP,Standard,One year,Annual,Mailed check,20.75,17,active,2025-04-02,
4671-VJLCL,Pro,Two year,Annual,Credit card (automatic),79.85,63,active,2021-06-11,
4080-IIARD,Basic,Month-to-month,Monthly,Electronic check,76.2,13,active,2025-08-12,
3714-NTNFO,Basic,Month-to-month,Monthly,Electronic check,84.5,49,active,2022-08-06,
5948-UJZLF,Basic,Month-to-month,Monthly,Mailed check,49.25,2,active,2026-07-14,
7760-OYPDY,Basic,Month-to-month,Monthly,Electronic check,80.65,2,cancelled,2026-06-28,2026-08-26
7639-LIAYI,Pro,Two year,Annual,Credit card (automatic),79.75,52,active,2022-04-23,
2954-PIBKO,Pro,Two year,Annual,Credit card (automatic),64.15,69,active,2020-11-17,
8012-SOUDQ,Basic,Month-to-month,Monthly,Electronic check,90.25,43,active,2023-02-09,
9420-LOJKX,Basic,Month-to-month,Monthly,Credit card (automatic),99.1,15,cancelled,2025-06-04,2026-08-30
6575-SUVOI,Basic,Month-to-month,Monthly,Credit card (automatic),69.5,25,active,2024-08-01,
7495-OOKFY,Basic,Month-to-month,Monthly,Credit card (automatic),80.65,8,cancelled,2026-01-02,2026-08-07
4667-QONEA,Standard,One year,Annual,Credit card (automatic),74.85,60,active,2021-09-03,
1658-BYGOY,Basic,Month-to-month,Monthly,Electronic check,95.45,18,cancelled,2025-03-12,2026-09-12
8769-KKTPH,Standard,One year,Annual,Credit card (automatic),99.65,63,active,2021-06-14,
5067-XJQFU,Standard,One year,Annual,Electronic check,108.45,66,active,2021-03-05,
3957-SQXML,Pro,Two year,Annual,Credit card (automatic),24.95,34,active,2023-11-15,
5954-BDFSG,Pro,Two year,Annual,Credit card (automatic),107.5,72,active,2020-09-15,
0434-CSFON,Basic,Month-to-month,Monthly,Electronic check,100.5,47,active,2022-10-02,
1215-FIGMP,Basic,Month-to-month,Monthly,Bank transfer (automatic),89.9,60,active,2021-08-22,
0526-SXDJP,Pro,Two year,Annual,Bank transfer (automatic),42.1,72,active,2020-08-31,
0557-ASKVU,Standard,One year,Annual,Credit card (automatic),54.4,18,active,2025-03-18,
5698-BQJOH,Basic,Month-to-month,Monthly,Electronic check,94.4,9,cancelled,2025-11-22,2026-07-23
5122-CYFXA,Basic,Month-to-month,Monthly,Electronic check,75.3,3,active,2026-05-28,
8627-ZYGSZ,Standard,One year,Annual,Electronic check,78.9,47,active,2022-10-08,
3410-YOQBQ,Pro,Two year,Annual,Mailed check,79.2,31,active,2024-02-08,
3170-NMYVV,Pro,Two year,Annual,Bank transfer (automatic),20.15,50,active,2022-06-21,
7410-OIEDU,Basic,Month-to-month,Monthly,Mailed check,79.85,10,active,2025-11-02,
2273-QCKXA,Basic,Month-to-month,Monthly,Mailed check,49.05,1,active,2026-08-13,
0731-EBJQB,Standard,One year,Annual,Electronic check,20.4,52,active,2022-05-10,
1891-QRQSA,Pro,Two year,Annual,Bank transfer (automatic),111.6,64,active,2021-05-10,
8028-PNXHQ,Pro,Two year,Annual,Bank transfer (automatic),24.25,62,active,2021-07-05,
5630-AHZIL,Basic,Month-to-month,Monthly,Bank transfer (automatic),64.5,3,active,2026-06-07,
2673-CXQEU,Standard,One year,Annual,Electronic check,110.5,56,active,2021-12-31,
6416-JNVRK,Standard,One year,Annual,Credit card (automatic),55.65,46,active,2022-11-07,
5590-ZSKRV,Basic,Month-to-month,Monthly,Mailed check,54.65,8,active,2025-12-28,
0191-ZHSKZ,Basic,Month-to-month,Monthly,Electronic check,74.75,30,active,2024-03-03,
3887-PBQAO,Standard,One year,Annual,Credit card (automatic),25.9,45,active,2022-11-19,
5919-TMRGD,Basic,Month-to-month,Monthly,Electronic check,79.35,1,cancelled,2026-07-24,2026-08-14
8108-UXRQN,Basic,Month-to-month,Monthly,Electronic check,50.55,11,active,2025-10-08,
9191-MYQKX,Basic,Month-to-month,Monthly,Bank transfer (automatic),75.15,7,cancelled,2026-02-14,2026-09-01
9919-YLNNG,Basic,Month-to-month,Monthly,Bank transfer (automatic),103.8,42,active,2023-03-01,
0318-ZOPWS,Pro,Two year,Annual,Bank transfer (automatic),20.15,49,active,2022-08-07,
4445-ZJNMU,Basic,Month-to-month,Monthly,Credit card (automatic),99.3,9,active,2025-11-20,
4808-YNLEU,Standard,One year,Annual,Bank transfer (automatic),62.15,35,active,2023-10-05,
1862-QRWPE,Pro,Two year,Annual,Bank transfer (automatic),20.65,48,active,2022-09-08,
2796-NNUFI,Pro,Two year,Annual,Mailed check,19.95,46,active,2022-11-06,
3016-KSVCP,Basic,Month-to-month,Monthly,Mailed check,33.75,29,active,2024-03-23,
4767-HZZHQ,Basic,Month-to-month,Monthly,Bank transfer (automatic),82.05,30,active,2024-03-14,
2424-WVHPL,Basic,Month-to-month,Monthly,Electronic check,74.7,1,active,2026-07-20,
7233-PAHHL,Pro,Two year,Annual,Mailed check,84.0,66,active,2021-03-10,
6067-NGCEU,Basic,Month-to-month,Monthly,Credit card (automatic),111.05,65,active,2021-03-23,
9848-JQJTX,Pro,Two year,Annual,Bank transfer (automatic),100.9,72,active,2020-08-31,
8637-XJIVR,Basic,Month-to-month,Monthly,Electronic check,78.95,12,cancelled,2025-08-30,2026-08-02
9803-FTJCG,Standard,One year,Annual,Credit card (automatic),66.85,71,active,2020-10-10,
0278-YXOOG,Basic,Month-to-month,Monthly,Mailed check,21.05,5,cancelled,2026-03-27,2026-07-22
3212-KXOCR,Pro,Two year,Annual,Bank transfer (automatic),21.0,52,active,2022-04-29,
4598-XLKNJ,Basic,Month-to-month,Monthly,Electronic check,98.5,25,cancelled,2024-08-02,2026-09-12
6380-ARCEH,Basic,Month-to-month,Monthly,Mailed check,20.2,1,active,2026-08-04,
3679-XASPY,Basic,Month-to-month,Monthly,Electronic check,19.45,1,active,2026-07-31,
7123-WQUHX,Standard,One year,Annual,Bank transfer (automatic),95.0,38,active,2023-07-04,
5386-THSLQ,Standard,One year,Annual,Bank transfer (automatic),45.55,66,active,2021-02-16,
3192-NQECA,Pro,Two year,Annual,Bank transfer (automatic),110.0,68,cancelled,2021-01-15,2026-09-03
6180-YBIQI,Basic,Month-to-month,Monthly,Mailed check,24.3,5,active,2026-04-10,
6728-DKUCO,Standard,One year,Annual,Electronic check,104.15,72,active,2020-08-22,
9750-BOOHV,Standard,One year,Annual,Mailed check,30.15,32,active,2023-12-24,
8597-CWYHH,Standard,One year,Annual,Mailed check,94.35,43,active,2023-02-06,
2848-YXSMW,Pro,Two year,Annual,Credit card (automatic),19.4,72,active,2020-09-01,
0486-HECZI,Basic,Month-to-month,Monthly,Electronic check,96.75,55,cancelled,2022-02-15,2026-09-07
4549-ZDQYY,Standard,One year,Annual,Credit card (automatic),57.95,52,active,2022-05-13,
5712-AHQNN,Basic,Month-to-month,Monthly,Electronic check,91.65,43,active,2023-01-19,
4846-WHAFZ,Basic,Month-to-month,Monthly,Electronic check,76.5,37,cancelled,2023-07-29,2026-09-11
5256-SKJGO,Pro,Two year,Annual,Electronic check,54.6,64,active,2021-05-16,
3071-VBYPO,Basic,Month-to-month,Monthly,Electronic check,89.85,3,active,2026-05-25,
9560-BBZXK,Pro,Two year,Annual,Bank transfer (automatic),31.05,36,active,2023-09-05,
5299-RULOA,Basic,Month-to-month,Monthly,Electronic check,100.25,10,cancelled,2025-10-30,2026-08-03
8402-OOOHJ,Pro,Two year,Annual,Mailed check,20.65,41,active,2023-03-23,
9445-ZUEQE,Basic,Month-to-month,Monthly,Credit card (automatic),85.2,27,active,2024-05-23,
1091-SOZGA,Standard,One year,Annual,Credit card (automatic),99.8,56,active,2022-01-12,
2928-HLDBA,Basic,Month-to-month,Monthly,Mailed check,20.7,6,active,2026-03-08,
0404-SWRVG,Basic,Month-to-month,Monthly,Electronic check,74.4,3,cancelled,2026-06-09,2026-09-04
6497-TILVL,Basic,Month-to-month,Monthly,Mailed check,50.7,7,active,2026-01-19,
7219-TLZHO,Basic,Month-to-month,Monthly,Mailed check,20.85,4,active,2026-04-25,
4622-YNKIJ,Pro,Two year,Annual,Electronic check,88.95,33,active,2023-11-28,
4412-YLTKF,Basic,Month-to-month,Monthly,Electronic check,78.05,27,cancelled,2024-06-16,2026-08-24
6734-PSBAW,Pro,Two year,Annual,Bank transfer (automatic),23.55,72,active,2020-08-23,
3930-ZGWVE,Basic,Month-to-month,Monthly,Mailed check,19.75,1,active,2026-08-01,
2639-UGMAZ,Standard,One year,Annual,Electronic check,56.45,71,active,2020-10-08,
2876-GZYZC,Basic,Month-to-month,Monthly,Electronic check,85.95,13,active,2025-08-04,
6207-WIOLX,Basic,Month-to-month,Monthly,Credit card (automatic),58.6,25,cancelled,2024-08-03,2026-07-29
8587-XYZSF,Pro,Two year,Annual,Bank transfer (automatic),50.55,67,active,2021-02-07,
3091-FYHKI,Basic,Month-to-month,Monthly,Electronic check,35.45,1,cancelled,2026-07-21,2026-08-10
2372-HWUHI,Basic,Month-to-month,Monthly,Electronic check,44.35,2,cancelled,2026-06-21,2026-08-07
7799-LGRDP,Pro,Two year,Annual,Credit card (automatic),25.7,43,active,2023-02-15,
7850-VWJUU,Basic,Month-to-month,Monthly,Bank transfer (automatic),75.0,23,active,2024-09-18,
3774-VBNXY,Pro,Two year,Annual,Mailed check,20.2,64,active,2021-05-05,
6217-KDYWC,Pro,Two year,Annual,Mailed check,19.6,57,active,2021-11-23,
0390-DCFDQ,Basic,Month-to-month,Monthly,Mailed check,70.45,1,cancelled,2026-07-25,2026-09-10
3146-MSEGF,Pro,Two year,Annual,Credit card (automatic),88.05,72,active,2020-08-30,
4080-OGPJL,Basic,Month-to-month,Monthly,Electronic check,71.15,8,cancelled,2025-12-25,2026-07-20
1095-WGNGG,Pro,Two year,Annual,Bank transfer (automatic),101.05,61,active,2021-07-28,
2636-SJDOU,Standard,One year,Annual,Credit card (automatic),84.3,64,active,2021-04-22,
1131-QQZEB,Pro,Two year,Annual,Bank transfer (automatic),23.95,71,active,2020-10-04,
5716-EZXZN,Pro,Two year,Annual,Credit card (automatic),99.05,65,active,2021-03-26,
6837-BJYDQ,Standard,One year,Annual,Mailed check,19.6,3,active,2026-05-19,
2135-RXIHG,Basic,Month-to-month,Monthly,Electronic check,45.65,1,cancelled,2026-07-20,2026-09-11
6440-DKQGE,Standard,One year,Annual,Credit card (automatic),64.5,30,active,2024-03-13,
3466-BYAVD,Basic,Month-to-month,Monthly,Mailed check,69.5,15,active,2025-06-03,
3780-YVMFA,Basic,Month-to-month,Monthly,Electronic check,68.55,8,active,2026-01-01,
3874-EQOEP,Basic,Month-to-month,Monthly,Mailed check,95.0,7,cancelled,2026-01-28,2026-08-05
1679-JRFBR,Standard,One year,Annual,Credit card (automatic),108.15,70,active,2020-10-28,
9073-ZZIAY,Pro,Two year,Annual,Electronic check,86.1,62,active,2021-06-22,
3077-RSNTJ,Basic,Month-to-month,Monthly,Mailed check,19.7,6,active,2026-03-03,
6551-GNYDG,Basic,Month-to-month,Monthly,Bank transfer (automatic),80.9,14,active,2025-06-26,
9167-APMXZ,Basic,Month-to-month,Monthly,Bank transfer (automatic),84.15,22,active,2024-10-21,
2749-CTKAJ,Standard,One year,Annual,Mailed check,20.15,22,active,2024-11-13,
6371-NZYEG,Pro,Two year,Annual,Mailed check,64.25,16,active,2025-04-28,
7554-NEWDD,Pro,Two year,Annual,Bank transfer (automatic),25.7,10,active,2025-11-05,
8992-VONJD,Basic,Month-to-month,Monthly,Electronic check,56.0,13,active,2025-07-21,
0867-MKZVY,Basic,Month-to-month,Monthly,Electronic check,82.4,20,cancelled,2024-12-31,2026-08-09
4482-EWFMI,Basic,Month-to-month,Monthly,Electronic check,69.7,2,active,2026-06-30,
4648-YPBTM,Pro,Two year,Annual,Bank transfer (automatic),73.9,53,active,2022-03-26,
2907-ILJBN,Standard,One year,Annual,Mailed check,20.6,11,active,2025-10-10,
6345-FZOQH,Pro,Two year,Annual,Mailed check,19.9,69,active,2020-11-30,
3376-BMGFE,Basic,Month-to-month,Monthly,Bank transfer (automatic),70.9,4,cancelled,2026-04-25,2026-08-22
5997-OPVFA,Pro,Two year,Annual,Bank transfer (automatic),89.05,72,active,2020-08-24,
3445-HXXGF,Basic,Month-to-month,Monthly,Electronic check,45.3,58,cancelled,2021-11-10,2026-07-28
1159-WFSGR,Basic,Month-to-month,Monthly,Electronic check,20.4,16,active,2025-04-22,
7654-YWJUF,Standard,One year,Annual,Bank transfer (automatic),84.25,43,active,2023-02-12,
1875-QIVME,Basic,Month-to-month,Monthly,Electronic check,104.4,2,cancelled,2026-07-11,2026-07-25
6727-IOTLZ,Pro,Two year,Annual,Mailed check,81.95,14,active,2025-06-22,
0691-JVSYA,Standard,One year,Annual,Bank transfer (automatic),94.85,53,cancelled,2022-03-30,2026-09-11
5918-VUKWP,Standard,One year,Annual,Bank transfer (automatic),20.55,32,active,2023-12-31,
1744-JHKYS,Basic,Month-to-month,Monthly,Electronic check,24.7,34,active,2023-11-01,
2656-FMOKZ,Basic,Month-to-month,Monthly,Mailed check,74.45,15,cancelled,2025-05-19,2026-07-21
2070-FNEXE,Basic,Month-to-month,Monthly,Bank transfer (automatic),76.45,7,cancelled,2026-02-09,2026-09-01
5947-SGKCL,Basic,Month-to-month,Monthly,Bank transfer (automatic),105.35,15,active,2025-06-09,
3712-PKXZA,Standard,One year,Annual,Credit card (automatic),20.55,61,active,2021-08-03,
6317-YPKDH,Basic,Month-to-month,Monthly,Bank transfer (automatic),29.95,1,cancelled,2026-07-23,2026-07-31
6582-OIVSP,Basic,Month-to-month,Monthly,Mailed check,45.3,1,active,2026-08-01,
9367-WXLCH,Basic,Month-to-month,Monthly,Bank transfer (automatic),84.5,8,cancelled,2025-12-26,2026-07-29
5524-KHNJP,Standard,One year,Annual,Credit card (automatic),74.75,33,active,2023-11-23,
1918-ZBFQJ,Basic,Month-to-month,Monthly,Electronic check,79.25,13,cancelled,2025-07-22,2026-08-14
1024-GUALD,Basic,Month-to-month,Monthly,Electronic check,24.8,1,cancelled,2026-08-04,2026-07-27
4827-USJHP,Basic,Month-to-month,Monthly,Mailed check,51.8,20,active,2025-01-03,
8167-GJLRN,Basic,Month-to-month,Monthly,Electronic check,30.4,3,active,2026-06-15,
0956-SYCWG,Standard,One year,Annual,Electronic check,19.65,13,active,2025-08-15,
8017-UVSZU,Basic,Month-to-month,Monthly,Credit card (automatic),56.6,40,active,2023-05-04,
7100-FQPRV,Standard,One year,Annual,Credit card (automatic),71.9,43,active,2023-01-25,
2472-OVKUP,Basic,Month-to-month,Monthly,Electronic check,91.0,6,cancelled,2026-02-21,2026-07-29
2984-RGEYA,Pro,Two year,Annual,Bank transfer (automatic),19.75,69,active,2020-12-04,
9680-NIAUV,Pro,Two year,Annual,Credit card (automatic),109.7,72,active,2020-08-30,
2146-EGVDT,Pro,Two year,Annual,Credit card (automatic),19.3,59,active,2021-09-23,
2604-IJPDU,Basic,Month-to-month,Monthly,Electronic check,96.55,20,active,2025-01-07,
9178-JHUVJ,Pro,Two year,Annual,Bank transfer (automatic),24.1,24,active,2024-09-12,
6168-YBYNP,Basic,Month-to-month,Monthly,Electronic check,111.35,59,active,2021-09-20,
7255-SSFBC,Pro,Two year,Annual,Bank transfer (automatic),112.25,72,active,2020-08-31,
3645-DEYGF,Basic,Month-to-month,Monthly,Mailed check,20.75,1,active,2026-08-13,
9323-HGFWY,Standard,One year,Annual,Credit card (automatic),101.9,27,active,2024-06-10,
8544-GOQSH,Basic,Month-to-month,Monthly,Credit card (automatic),80.05,14,active,2025-07-08,
3363-DTIVD,Pro,Two year,Annual,Electronic check,105.55,71,active,2020-10-10,
7018-WBJNK,Basic,Month-to-month,Monthly,Credit card (automatic),78.3,13,active,2025-08-04,
9142-KZXOP,Basic,Month-to-month,Monthly,Credit card (automatic),68.85,44,active,2022-12-23,
7674-YTAFD,Standard,One year,Annual,Bank transfer (automatic),79.95,33,active,2023-11-25,
6348-SNFUS,Pro,Two year,Annual,Credit card (automatic),55.45,72,active,2020-08-20,
1285-OKIPP,Basic,Month-to-month,Monthly,Electronic check,79.9,1,cancelled,2026-07-23,2026-08-16
7825-ECJRF,Basic,Month-to-month,Monthly,Electronic check,106.6,19,cancelled,2025-02-06,2026-09-05
1347-KTTTA,Standard,One year,Annual,Credit card (automatic),102.45,64,active,2021-05-16,
7841-TZDMQ,Basic,Month-to-month,Monthly,Credit card (automatic),46.0,2,cancelled,2026-07-14,2026-08-21
4195-NZGTA,Basic,Month-to-month,Monthly,Electronic check,25.25,1,active,2026-07-25,
7157-SMCFK,Pro,Two year,Annual,Mailed check,19.75,61,active,2021-08-07,
4709-LKHYG,Standard,One year,Annual,Electronic check,20.0,29,active,2024-03-27,
2504-DSHIH,Basic,Month-to-month,Monthly,Electronic check,86.8,23,active,2024-10-03,
0699-NDKJM,Basic,Month-to-month,Monthly,Bank transfer (automatic),58.75,57,active,2021-11-20,
9286-BHDQG,Pro,Two year,Annual,Credit card (automatic),45.25,72,active,2020-09-01,
0230-WEQUW,Pro,Two year,Annual,Bank transfer (automatic),56.6,66,active,2021-02-18,
2040-LDIWQ,Pro,Two year,Annual,Bank transfer (automatic),84.2,65,active,2021-04-10,
6496-JDSSB,Basic,Month-to-month,Monthly,Bank transfer (automatic),80.0,8,active,2025-12-24,
9408-SSNVZ,Basic,Month-to-month,Monthly,Electronic check,70.15,4,cancelled,2026-05-03,2026-07-24
4443-EMBNA,Pro,Two year,Annual,Bank transfer (automatic),24.75,71,active,2020-10-11,
6469-MRVET,Standard,One year,Annual,Electronic check,20.2,1,active,2026-08-10,
0742-MOABM,Basic,Month-to-month,Monthly,Mailed check,50.05,4,cancelled,2026-05-09,2026-09-04
5961-VUSRV,Standard,One year,Annual,Bank transfer (automatic),19.35,12,active,2025-09-12,
6778-JFCMK,Standard,One year,Annual,Mailed check,50.6,24,active,2024-08-19,
6341-JVQGF,Standard,One year,Annual,Mailed check,81.15,31,active,2024-02-10,
2232-DMLXU,Basic,Month-to-month,Monthly,Mailed check,55.2,1,cancelled,2026-07-31,2026-07-19
4811-JBUVU,Basic,Month-to-month,Monthly,Credit card (automatic),89.9,30,active,2024-02-29,
0945-TSONX,Pro,Two year,Annual,Credit card (automatic),85.3,47,active,2022-10-01,
2651-ZCBXV,Pro,Two year,Annual,Credit card (automatic),108.0,54,active,2022-02-28,
3316-UWXUY,Basic,Month-to-month,Monthly,Credit card (automatic),93.5,50,active,2022-06-20,
8937-RDTHP,Basic,Month-to-month,Monthly,Mailed check,84.6,1,cancelled,2026-07-19,2026-09-05
7083-MIOPC,Pro,Two year,Annual,Credit card (automatic),20.25,72,active,2020-08-21,
1984-GPTEH,Basic,Month-to-month,Monthly,Electronic check,25.15,29,active,2024-04-04,
1251-KRREG,Basic,Month-to-month,Monthly,Mailed check,54.4,2,cancelled,2026-06-27,2026-08-07
0621-JFHOL,Pro,Two year,Annual,Mailed check,29.6,10,active,2025-11-11,
9903-LYSAB,Basic,Month-to-month,Monthly,Electronic check,73.15,18,active,2025-02-20,
0094-OIFMO,Basic,Month-to-month,Monthly,Electronic check,95.0,11,cancelled,2025-10-12,2026-08-09
9227-UAQFT,Pro,Two year,Annual,Mailed check,19.75,16,active,2025-05-14,
7301-ABVAD,Pro,Two year,Annual,Bank transfer (automatic),86.6,72,active,2020-08-23,
6614-FHDBO,Pro,Two year,Annual,Bank transfer (automatic),109.2,72,active,2020-08-25,
7576-ASEJU,Standard,One year,Annual,Credit card (automatic),74.7,41,active,2023-04-13,
9058-HRZSV,Basic,Month-to-month,Monthly,Electronic check,94.4,65,active,2021-03-20,
4522-AKYLR,Basic,Month-to-month,Monthly,Electronic check,54.8,13,active,2025-08-14,
0221-WMXNQ,Basic,Month-to-month,Monthly,Electronic check,75.35,4,active,2026-05-17,
0303-UNCIP,Standard,One year,Annual,Mailed check,65.0,41,active,2023-03-20,
9947-OTFQU,Basic,Month-to-month,Monthly,Electronic check,74.4,15,cancelled,2025-06-11,2026-09-04
0322-YINQP,Basic,Month-to-month,Monthly,Mailed check,48.55,1,cancelled,2026-08-10,2026-08-19
0959-WHOKV,Standard,One year,Annual,Electronic check,99.0,42,active,2023-02-23,
4075-JFPGR,Standard,One year,Annual,Electronic check,93.5,51,active,2022-05-30,
4629-NRXKX,Basic,Month-to-month,Monthly,Electronic check,70.4,2,cancelled,2026-07-03,2026-09-07
9514-JDSKI,Basic,Month-to-month,Monthly,Electronic check,40.2,1,cancelled,2026-07-19,2026-08-25
3282-ZISZV,Standard,One year,Annual,Credit card (automatic),83.7,32,active,2024-01-14,
3675-YDUPJ,Basic,Month-to-month,Monthly,Mailed check,19.85,10,active,2025-10-20,
4111-BNXIF,Pro,Two year,Annual,Electronic check,59.55,67,active,2021-02-07,
7017-VFHAY,Pro,Two year,Annual,Credit card (automatic),115.1,61,active,2021-07-30,
6655-LHBYW,Standard,One year,Annual,Credit card (automatic),114.35,50,active,2022-07-08,
4959-JOSRX,Basic,Month-to-month,Monthly,Credit card (automatic),44.6,2,cancelled,2026-07-10,2026-07-21
5046-NUHWD,Basic,Month-to-month,Monthly,Electronic check,45.0,29,active,2024-04-08,
7273-TEFQD,Basic,Month-to-month,Monthly,Electronic check,41.15,3,cancelled,2026-06-01,2026-09-12
3606-TWKGI,Basic,Month-to-month,Monthly,Electronic check,106.9,13,cancelled,2025-07-22,2026-07-26
7529-ZDFXI,Basic,Month-to-month,Monthly,Electronic check,89.85,57,active,2021-12-13,
7605-BDWDC,Pro,Two year,Annual,Bank transfer (automatic),49.85,31,active,2024-01-28,
1950-KSVVJ,Standard,One year,Annual,Mailed check,113.3,45,active,2022-11-22,
0123-CRBRT,Pro,Two year,Annual,Mailed check,88.1,61,active,2021-07-26,
6292-TOSSS,Pro,Two year,Annual,Bank transfer (automatic),24.9,50,active,2022-06-18,
3197-ARFOY,Basic,Month-to-month,Monthly,Mailed check,105.0,19,active,2025-02-15,
6323-AYBRX,Pro,Two year,Annual,Mailed check,19.35,59,cancelled,2021-10-07,2026-08-07
7014-ZZXAW,Pro,Two year,Annual,Credit card (automatic),24.25,71,active,2020-10-04,
4385-GZQXV,Basic,Month-to-month,Monthly,Electronic check,94.45,16,cancelled,2025-05-01,2026-08-02
7633-MVPUY,Pro,Two year,Annual,Electronic check,59.75,57,active,2021-12-07,
6366-ZGQGL,Basic,Month-to-month,Monthly,Bank transfer (automatic),24.8,1,cancelled,2026-08-10,2026-08-30
4716-HHKQH,Basic,Month-to-month,Monthly,Electronic check,107.05,20,active,2024-12-22,
5940-AHUHD,Basic,Month-to-month,Monthly,Mailed check,70.6,1,cancelled,2026-08-11,2026-07-22
6432-TWQLB,Basic,Month-to-month,Monthly,Electronic check,85.4,5,cancelled,2026-03-20,2026-09-01
4484-GLZOU,Basic,Month-to-month,Monthly,Electronic check,105.05,52,cancelled,2022-05-17,2026-08-17
3179-GBRWV,Basic,Month-to-month,Monthly,Bank transfer (automatic),64.95,21,active,2024-12-04,
8645-KWHJO,Basic,Month-to-month,Monthly,Electronic check,55.0,14,active,2025-06-29,
4130-MZLCC,Basic,Month-to-month,Monthly,Bank transfer (automatic),50.55,5,active,2026-03-19,
0314-TKOSI,Basic,Month-to-month,Monthly,Mailed check,55.15,6,active,2026-02-24,
8229-MYEJZ,Basic,Month-to-month,Monthly,Electronic check,51.2,10,active,2025-11-16,
2080-SRCDE,Basic,Month-to-month,Monthly,Mailed check,25.4,1,active,2026-07-26,
