customer_id,plan_type,contract_type,billing_cycle,payment_method,monthly_charge,tenure_months,status,start_date,end_date
CUST-000094,Basic,Month-to-month,Monthly,Electronic check,116.46,32,cancelled,2024-01-04,2026-09-05
CUST-000095,Basic,Month-to-month,Monthly,Credit card,66.55,70,active,2020-10-21,
CUST-000096,Standard,One year,Annual,Bank transfer,24.75,39,active,2023-06-05,
CUST-000097,Basic,Month-to-month,Monthly,Credit card,28.36,39,active,2023-06-05,
CUST-000098,Basic,Month-to-month,Monthly,Bank transfer,59.03,10,cancelled,2025-10-29,2026-08-10
CUST-000099,Basic,Month-to-month,Monthly,Credit card,45.77,57,active,2021-12-11,
CUST-000100,Pro,Two year,Annual,Credit card,36.99,24,active,2024-08-29,
CUST-000101,Pro,Two year,Annual,Electronic check,115.32,6,active,2026-02-17,
CUST-000102,Standard,One year,Annual,Electronic check,39.54,72,active,2020-08-28,
CUST-000103,Basic,Month-to-month,Monthly,Electronic check,115.94,13,cancelled,2025-08-15,2026-09-15
CUST-000104,Pro,Two year,Annual,Credit card,96.08,1,active,2026-07-28,
CUST-000105,Standard,One year,Annual,Electronic check,84.09,5,active,2026-04-16,
CUST-000106,Standard,One year,Annual,Mailed check,87.6,33,active,2023-12-14,
CUST-000107,Basic,Month-to-month,Monthly,Credit card,53.15,7,cancelled,2026-02-07,2026-08-07
CUST-000108,Basic,Month-to-month,Monthly,Mailed check,84.64,61,active,2021-08-08,
CUST-000109,Basic,Month-to-month,Monthly,Electronic check,38.67,37,active,2023-08-17,
CUST-000110,Pro,Two year,Annual,Mailed check,113.77,23,active,2024-10-16,
CUST-000111,Basic,Month-to-month,Monthly,Electronic check,50.18,0,cancelled,2026-08-24,2026-07-25
CUST-000112,Basic,Month-to-month,Monthly,Mailed check,45.52,35,active,2023-10-04,
CUST-000113,Basic,Month-to-month,Monthly,Bank transfer,91.12,11,cancelled,2025-10-12,2026-09-07
CUST-000114,Standard,One year,Annual,Bank transfer,85.64,71,active,2020-10-04,
CUST-000115,Basic,Month-to-month,Monthly,Bank transfer,65.13,21,active,2024-11-26,
CUST-000116,Pro,Two year,Annual,Electronic check,83.24,34,active,2023-10-26,
CUST-000117,Standard,One year,Annual,Credit card,35.95,1,active,2026-08-09,
CUST-000118,Standard,One year,Annual,Mailed check,87.33,9,active,2025-12-12,
CUST-000119,Basic,Month-to-month,Monthly,Mailed check,47.06,15,cancelled,2025-05-20,2026-08-03
CUST-000120,Standard,One year,Annual,Bank transfer,47.28,3,active,2026-05-30,
CUST-000121,Standard,One year,Annual,Electronic check,36.22,52,active,2022-04-19,
CUST-000122,Standard,One year,Annual,Mailed check,53.24,69,active,2020-12-07,
CUST-000123,Basic,Month-to-month,Monthly,Mailed check,53.13,71,active,2020-10-13,
CUST-000124,Basic,Month-to-month,Monthly,Electronic check,65.42,19,active,2025-02-04,
CUST-000125,Basic,Month-to-month,Monthly,Credit card,39.04,57,active,2021-12-07,
CUST-000126,Basic,Month-to-month,Monthly,Mailed check,39.3,36,active,2023-08-27,
CUST-000127,Basic,Month-to-month,Monthly,Electronic check,74.17,3,active,2026-05-27,
CUST-000128,Basic,Month-to-month,Monthly,Mailed check,32.89,6,active,2026-03-16,
CUST-000129,Basic,Month-to-month,Monthly,Credit card,88.89,39,cancelled,2023-05-31,2026-08-14
CUST-000130,Standard,One year,Annual,Bank transfer,114.39,30,active,2024-03-07,
CUST-000131,Basic,Month-to-month,Monthly,Bank transfer,62.68,0,cancelled,2026-08-29,2026-07-22
CUST-000132,Pro,Two year,Annual,Credit card,110.11,67,active,2021-02-04,
CUST-000133,Standard,One year,Annual,Electronic check,29.83,53,active,2022-04-01,
CUST-000134,Basic,Month-to-month,Monthly,Bank transfer,24.3,36,active,2023-08-27,
CUST-000135,Standard,One year,Annual,Mailed check,92.14,72,active,2020-09-08,
CUST-000136,Basic,Month-to-month,Monthly,Bank transfer,96.1,70,active,2020-11-11,
CUST-000137,Pro,Two year,Annual,Credit card,104.31,71,active,2020-09-25,
CUST-000138,Basic,Month-to-month,Monthly,Electronic check,25.68,18,active,2025-02-18,
CUST-000139,Standard,One year,Annual,Electronic check,97.69,64,active,2021-05-04,
CUST-000140,Basic,Month-to-month,Monthly,Credit card,57.65,36,active,2023-08-19,
CUST-000141,Basic,Month-to-month,Monthly,Mailed check,50.33,53,cancelled,2022-04-12,2026-09-01
CUST-000142,Basic,Month-to-month,Monthly,Mailed check,37.3,62,active,2021-06-23,
CUST-000143,Pro,Two year,Annual,Electronic check,119.6,11,active,2025-09-18,
CUST-000144,Standard,One year,Annual,Mailed check,26.37,32,active,2024-01-08,
CUST-000145,Basic,Month-to-month,Monthly,Electronic check,102.7,9,cancelled,2025-12-13,2026-09-02
CUST-000146,Basic,Month-to-month,Monthly,Electronic check,83.95,20,cancelled,2024-12-28,2026-09-15
CUST-000147,Basic,Month-to-month,Monthly,Electronic check,93.51,30,active,2024-02-20,
CUST-000148,Basic,Month-to-month,Monthly,Electronic check,91.17,62,active,2021-07-15,
CUST-000149,Basic,Month-to-month,Monthly,Credit card,105.84,62,active,2021-06-28,
CUST-000150,Basic,Month-to-month,Monthly,Credit card,38.38,28,cancelled,2024-04-21,2026-08-05
CUST-000151,Pro,Two year,Annual,Credit card,20.08,24,active,2024-09-16,
CUST-000152,Pro,Two year,Annual,Electronic check,79.85,38,active,2023-07-03,
CUST-000153,Basic,Month-to-month,Monthly,Mailed check,55.39,66,active,2021-03-15,
CUST-000154,Standard,One year,Annual,Mailed check,32.38,71,active,2020-10-11,
CUST-000155,Basic,Month-to-month,Monthly,Bank transfer,38.61,16,cancelled,2025-05-03,2026-07-26
CUST-000156,Standard,One year,Annual,Electronic check,53.17,13,active,2025-08-08,
CUST-000157,Basic,Month-to-month,Monthly,Electronic check,27.02,51,active,2022-06-15,
CUST-000158,Standard,One year,Annual,Credit card,25.69,22,active,2024-10-23,
CUST-000159,Standard,One year,Annual,Mailed check,111.6,14,active,2025-07-11,
CUST-000160,Standard,One year,Annual,Credit card,51.21,2,active,2026-06-22,
CUST-000161,Basic,Month-to-month,Monthly,Electronic check,118.22,29,active,2024-04-12,
CUST-000162,Pro,Two year,Annual,Credit card,116.44,28,active,2024-05-02,
CUST-000163,Basic,Month-to-month,Monthly,Bank transfer,34.26,41,active,2023-03-27,
CUST-000164,Basic,Month-to-month,Monthly,Credit card,91.49,14,cancelled,2025-07-03,2026-09-14
CUST-000165,Standard,One year,Annual,Bank transfer,80.08,52,active,2022-05-06,
CUST-000166,Basic,Month-to-month,Monthly,Credit card,89.06,49,active,2022-07-26,
CUST-000167,Pro,Two year,Annual,Mailed check,29.62,33,active,2023-12-17,
CUST-000168,Pro,Two year,Annual,Mailed check,38.86,13,active,2025-07-24,
CUST-000169,Basic,Month-to-month,Monthly,Electronic check,27.66,37,active,2023-07-28,
CUST-000170,Pro,Two year,Annual,Electronic check,80.41,49,active,2022-07-26,
CUST-000171,Basic,Month-to-month,Monthly,Credit card,118.66,27,cancelled,2024-06-05,2026-08-17
CUST-000172,Basic,Month-to-month,Monthly,Mailed check,87.2,19,cancelled,2025-02-04,2026-08-04
CUST-000173,Basic,Month-to-month,Monthly,Electronic check,91.08,36,cancelled,2023-08-31,2026-07-31
CUST-000174,Pro,Two year,Annual,Mailed check,118.46,25,active,2024-07-28,
CUST-000175,Basic,Month-to-month,Monthly,Mailed check,87.8,29,active,2024-03-21,
CUST-000176,Basic,Month-to-month,Monthly,Bank transfer,24.02,25,active,2024-07-22,
CUST-000177,Basic,Month-to-month,Monthly,Electronic check,106.7,22,cancelled,2024-11-15,2026-07-23
CUST-000178,Pro,Two year,Annual,Electronic check,56.47,52,active,2022-05-14,
CUST-000179,Pro,Two year,Annual,Bank transfer,20.44,33,active,2023-11-19,
CUST-000180,Standard,One year,Annual,Electronic check,70.72,34,active,2023-11-06,
CUST-000181,Pro,Two year,Annual,Mailed check,113.7,47,active,2022-09-30,
CUST-000182,Pro,Two year,Annual,Bank transfer,45.73,26,active,2024-07-16,
CUST-000183,Basic,Month-to-month,Monthly,Bank transfer,69.15,7,cancelled,2026-02-12,2026-08-04
CUST-000184,Basic,Month-to-month,Monthly,Electronic check,37.38,62,active,2021-07-05,
CUST-000185,Standard,One year,Annual,Bank transfer,25.77,4,active,2026-04-27,
CUST-000186,Standard,One year,Annual,Electronic check,28.05,41,active,2023-03-25,
CUST-000187,Basic,Month-to-month,Monthly,Electronic check,92.7,19,cancelled,2025-01-20,2026-07-23
CUST-000188,Basic,Month-to-month,Monthly,Electronic check,106.41,15,active,2025-06-12,
CUST-000189,Standard,One year,Annual,Bank transfer,34.33,3,active,2026-06-11,
CUST-000190,Basic,Month-to-month,Monthly,Bank transfer,48.83,65,active,2021-04-01,
CUST-000191,Pro,Two year,Annual,Bank transfer,39.5,31,active,2024-01-31,
CUST-000192,Basic,Month-to-month,Monthly,Electronic check,22.69,25,active,2024-08-15,
CUST-000193,Basic,Month-to-month,Monthly,Mailed check,75.34,54,active,2022-03-05,
CUST-000194,Pro,Two year,Annual,Electronic check,89.99,2,cancelled,2026-06-22,2026-07-19
CUST-000195,Basic,Month-to-month,Monthly,Mailed check,84.79,41,active,2023-04-13,
CUST-000196,Basic,Month-to-month,Monthly,Electronic check,58.81,36,cancelled,2023-08-24,2026-07-23
CUST-000197,Standard,One year,Annual,Bank transfer,75.5,40,active,2023-05-05,
CUST-000198,Pro,Two year,Annual,Credit card,29.41,9,active,2025-12-02,
CUST-000199,Basic,Month-to-month,Monthly,Credit card,35.43,69,active,2020-11-27,
CUST-000200,Basic,Month-to-month,Monthly,Electronic check,113.18,17,cancelled,2025-03-27,2026-08-21
CUST-000201,Standard,One year,Annual,Electronic check,96.15,49,active,2022-07-29,
CUST-000202,Pro,Two year,Annual,Electronic check,112.27,54,active,2022-03-15,
CUST-000203,Basic,Month-to-month,Monthly,Credit card,111.67,25,cancelled,2024-08-08,2026-08-22
CUST-000204,Basic,Month-to-month,Monthly,Credit card,84.94,9,cancelled,2025-11-22,2026-08-21
CUST-000205,Basic,Month-to-month,Monthly,Electronic check,112.82,21,cancelled,2024-12-15,2026-07-21
CUST-000206,Basic,Month-to-month,Monthly,Credit card,61.67,58,active,2021-10-26,
CUST-000207,Basic,Month-to-month,Monthly,Bank transfer,20.36,66,active,2021-03-02,
CUST-000208,Standard,One year,Annual,Electronic check,26.26,68,active,2021-01-13,
CUST-000209,Basic,Month-to-month,Monthly,Mailed check,30.95,16,active,2025-05-14,
CUST-000210,Basic,Month-to-month,Monthly,Mailed check,29.54,44,active,2022-12-18,
CUST-000211,Standard,One year,Annual,Credit card,55.17,11,active,2025-10-17,
CUST-000212,Standard,One year,Annual,Electronic check,90.13,51,active,2022-06-17,
CUST-000213,Basic,Month-to-month,Monthly,Electronic check,99.06,30,cancelled,2024-03-17,2026-08-30
CUST-000214,Pro,Two year,Annual,Bank transfer,79.02,52,active,2022-04-30,
CUST-000215,Standard,One year,Annual,Mailed check,34.64,50,active,2022-06-20,
CUST-000216,Standard,One year,Annual,Mailed check,94.79,72,active,2020-09-11,
CUST-000217,Basic,Month-to-month,Monthly,Credit card,55.48,35,active,2023-09-24,
CUST-000218,Basic,Month-to-month,Monthly,Credit card,21.3,24,cancelled,2024-08-26,2026-08-02
CUST-000219,Pro,Two year,Annual,Bank transfer,48.06,38,active,2023-07-12,
CUST-000220,Basic,Month-to-month,Monthly,Credit card,53.06,11,active,2025-10-15,
CUST-000221,Basic,Month-to-month,Monthly,Credit card,47.42,8,active,2026-01-02,
CUST-000222,Basic,Month-to-month,Monthly,Bank transfer,101.19,37,active,2023-08-15,
CUST-000223,Standard,One year,Annual,Credit card,95.99,60,active,2021-09-13,
CUST-000224,Pro,Two year,Annual,Electronic check,89.56,38,active,2023-07-05,
CUST-000225,Basic,Month-to-month,Monthly,Electronic check,33.9,57,active,2021-11-22,
CUST-000226,Pro,Two year,Annual,Credit card,100.78,12,active,2025-08-18,
CUST-000227,Basic,Month-to-month,Monthly,Electronic check,87.72,32,active,2023-12-29,
CUST-000228,Standard,One year,Annual,Bank transfer,39.48,44,active,2023-01-08,
CUST-000229,Standard,One year,Annual,Mailed check,84.81,25,active,2024-08-07,
CUST-000230,Basic,Month-to-month,Monthly,Credit card,68.35,1,cancelled,2026-07-30,2026-08-10
CUST-000231,Basic,Month-to-month,Monthly,Bank transfer,63.94,5,cancelled,2026-04-12,2026-09-12
CUST-000232,Basic,Month-to-month,Monthly,Electronic check,31.21,67,active,2021-01-31,
CUST-000233,Pro,Two year,Annual,Mailed check,71.83,44,active,2022-12-24,
CUST-000234,Standard,One year,Annual,Bank transfer,29.99,19,active,2025-01-21,
CUST-000235,Pro,Two year,Annual,Credit card,36.43,18,active,2025-03-17,
CUST-000236,Pro,Two year,Annual,Credit card,33.25,2,active,2026-07-10,
CUST-000237,Basic,Month-to-month,Monthly,Credit card,115.41,68,cancelled,2021-01-09,2026-08-18
CUST-000238,Standard,One year,Annual,Credit card,48.49,7,active,2026-01-30,
CUST-000239,Basic,Month-to-month,Monthly,Credit card,55.52,55,active,2022-02-10,
CUST-000240,Basic,Month-to-month,Monthly,Bank transfer,52.21,17,active,2025-03-20,
CUST-000241,Pro,Two year,Annual,Mailed check,109.83,24,active,2024-08-20,
CUST-000242,Pro,Two year,Annual,Bank transfer,76.3,19,active,2025-02-06,
CUST-000243,Basic,Month-to-month,Monthly,Credit card,111.92,60,active,2021-09-04,
CUST-000244,Basic,Month-to-month,Monthly,Mailed check,49.99,2,cancelled,2026-07-05,2026-09-04
CUST-000245,Standard,One year,Annual,Credit card,31.48,25,active,2024-08-15,
CUST-000246,Pro,Two year,Annual,Bank transfer,75.62,20,active,2024-12-21,
CUST-000247,Standard,One year,Annual,Electronic check,54.55,19,active,2025-01-23,
CUST-000248,Basic,Month-to-month,Monthly,Credit card,100.19,14,cancelled,2025-07-08,2026-08-04
CUST-000249,Basic,Month-to-month,Monthly,Credit card,107.94,66,cancelled,2021-03-01,2026-08-20
CUST-000250,Basic,Month-to-month,Monthly,Bank transfer,67.26,27,cancelled,2024-06-06,2026-08-25
CUST-000251,Standard,One year,Annual,Electronic check,117.14,30,active,2024-03-11,
CUST-000252,Pro,Two year,Annual,Electronic check,75.3,28,active,2024-05-08,
CUST-000253,Basic,Month-to-month,Monthly,Credit card,47.09,71,active,2020-10-13,
CUST-000254,Basic,Month-to-month,Monthly,Electronic check,68.9,24,cancelled,2024-08-23,2026-09-12
CUST-000255,Basic,Month-to-month,Monthly,Mailed check,23.73,24,active,2024-08-28,
CUST-000256,Standard,One year,Annual,Bank transfer,100.4,23,active,2024-09-19,
CUST-000257,Pro,Two year,Annual,Electronic check,30.14,23,active,2024-10-16,
CUST-000258,Basic,Month-to-month,Monthly,Credit card,50.87,6,cancelled,2026-02-28,2026-09-08
CUST-000259,Basic,Month-to-month,Monthly,Bank transfer,76.53,44,cancelled,2022-12-31,2026-08-01
CUST-000260,Standard,One year,Annual,Electronic check,24.3,1,active,2026-07-30,
CUST-000261,Basic,Month-to-month,Monthly,Mailed check,27.93,16,cancelled,2025-04-18,2026-07-27
CUST-000262,Pro,Two year,Annual,Mailed check,89.61,14,active,2025-07-06,
CUST-000263,Basic,Month-to-month,Monthly,Electronic check,27.18,21,active,2024-12-12,
CUST-000264,Basic,Month-to-month,Monthly,Credit card,67.71,55,active,2022-02-15,
CUST-000265,Pro,Two year,Annual,Mailed check,53.87,43,active,2023-02-02,
CUST-000266,Basic,Month-to-month,Monthly,Bank transfer,42.81,72,active,2020-09-11,
CUST-000267,Basic,Month-to-month,Monthly,Bank transfer,38.88,25,active,2024-08-12,
CUST-000268,Basic,Month-to-month,Monthly,Electronic check,96.34,67,cancelled,2021-02-11,2026-08-29
CUST-000269,Basic,Month-to-month,Monthly,Bank transfer,115.15,3,cancelled,2026-06-09,2026-07-29
CUST-000270,Basic,Month-to-month,Monthly,Mailed check,34.02,36,active,2023-09-14,
CUST-000271,Basic,Month-to-month,Monthly,Electronic check,115.97,58,active,2021-11-02,
CUST-000272,Basic,Month-to-month,Monthly,Mailed check,79.48,38,cancelled,2023-06-29,2026-08-14
CUST-000273,Basic,Month-to-month,Monthly,Bank transfer,84.17,68,active,2021-01-08,
CUST-000274,Standard,One year,Annual,Electronic check,90.99,22,active,2024-11-12,
CUST-000275,Standard,One year,Annual,Credit card,90.41,2,active,2026-07-01,
CUST-000276,Basic,Month-to-month,Monthly,Bank transfer,101.98,56,cancelled,2022-01-14,2026-08-26
CUST-000277,Basic,Month-to-month,Monthly,Mailed check,68.35,4,active,2026-04-26,
CUST-000278,Basic,Month-to-month,Monthly,Bank transfer,73.34,55,active,2022-02-04,
CUST-000279,Pro,Two year,Annual,Mailed check,52.38,53,active,2022-04-05,
CUST-000280,Pro,Two year,Annual,Bank transfer,30.53,61,active,2021-08-10,
CUST-000281,Basic,Month-to-month,Monthly,Electronic check,86.46,34,active,2023-11-09,
CUST-000282,Basic,Month-to-month,Monthly,Bank transfer,23.36,65,active,2021-04-13,
CUST-000283,Basic,Month-to-month,Monthly,Electronic check,47.56,12,active,2025-08-31,
CUST-000284,Basic,Month-to-month,Monthly,Electronic check,29.42,31,cancelled,2024-02-12,2026-08-20
CUST-000285,Standard,One year,Annual,Mailed check,39.07,8,active,2025-12-27,
CUST-000286,Basic,Month-to-month,Monthly,Electronic check,83.87,55,active,2022-02-08,
CUST-000287,Basic,Month-to-month,Monthly,Mailed check,82.85,52,active,2022-05-02,
CUST-000288,Basic,Month-to-month,Monthly,Electronic check,62.11,58,active,2021-10-31,
CUST-000289,Basic,Month-to-month,Monthly,Electronic check,29.02,55,active,2022-01-27,
CUST-000290,Basic,Month-to-month,Monthly,Electronic check,63.34,22,cancelled,2024-10-25,2026-08-06
CUST-000291,Pro,Two year,Annual,Credit card,55.27,4,active,2026-05-02,
CUST-000292,Basic,Month-to-month,Monthly,Bank transfer,92.05,67,active,2021-01-21,
CUST-000293,Pro,Two year,Annual,Electronic check,77.9,35,active,2023-10-10,
CUST-000294,Basic,Month-to-month,Monthly,Electronic check,69.16,6,cancelled,2026-02-24,2026-07-24
CUST-000295,Pro,Two year,Annual,Credit card,68.7,67,active,2021-02-05,
CUST-000296,Pro,Two year,Annual,Bank transfer,116.63,72,active,2020-08-29,
CUST-000297,Pro,Two year,Annual,Credit card,95.63,32,active,2024-01-02,
CUST-000298,Pro,Two year,Annual,Electronic check,69.7,56,active,2021-12-20,
CUST-000299,Standard,One year,Annual,Mailed check,67.92,2,active,2026-07-10,
CUST-000300,Standard,One year,Annual,Electronic check,22.65,6,active,2026-03-03,
CUST-000301,Standard,One year,Annual,Mailed check,114.25,20,active,2025-01-12,
CUST-000302,Basic,Month-to-month,Monthly,Electronic check,51.92,47,active,2022-09-28,
CUST-000303,Basic,Month-to-month,Monthly,Electronic check,45.59,9,cancelled,2025-12-16,2026-08-17
CUST-000304,Basic,Month-to-month,Monthly,Bank transfer,119.94,2,cancelled,2026-07-06,2026-08-26
CUST-000305,Pro,Two year,Annual,Credit card,91.87,48,active,2022-09-16,
CUST-000306,Basic,Month-to-month,Monthly,Bank transfer,24.74,56,active,2022-01-07,
CUST-000307,Basic,Month-to-month,Monthly,Credit card,26.19,53,active,2022-04-03,
