customer_id,log_month,session_count,avg_session_minutes,feature_adoption_score,last_active_date
CUST-000007,2026-05-01,19,11.4,0.625,2026-05-24
CUST-000007,2026-06-01,18,14.17,0.716,2026-06-23
CUST-000007,2026-07-01,24,10.88,0.715,2026-07-03
CUST-000007,2026-08-01,20,15.13,0.73,2026-08-22
CUST-000008,2026-03-01,15,31.84,0.799,2026-03-14
CUST-000008,2026-04-01,18,34.02,0.691,2026-04-05
CUST-000008,2026-05-01,14,37.76,0.803,2026-05-09
CUST-000008,2026-06-01,17,39.71,0.767,2026-06-22
CUST-000008,2026-07-01,13,41.75,0.728,2026-07-03
CUST-000008,2026-08-01,13,34.19,0.693,2026-08-01
CUST-000009,2026-03-01,18,25.96,0.362,2026-03-02
CUST-000009,2026-04-01,15,21.25,0.308,2026-04-02
CUST-000009,2026-05-01,12,19.59,0.233,2026-05-27
CUST-000009,2026-06-01,13,11.47,0.207,2026-06-24
CUST-000009,2026-07-01,9,12.87,0.18,2026-07-26
CUST-000009,2026-08-01,5,11.56,0.157,2026-08-27
CUST-000010,2026-03-01,15,17.94,0.601,2026-03-12
CUST-000010,2026-04-01,12,0.6,0.535,2026-04-23
CUST-000010,2026-05-01,13,6.4,0.397,2026-05-03
CUST-000010,2026-06-01,10,6.62,0.398,2026-06-06
CUST-000010,2026-07-01,8,8.64,0.325,2026-07-07
CUST-000010,2026-08-01,2,0.89,0.241,2026-08-14
CUST-000011,2026-03-01,7,34.44,0.3,2026-03-26
CUST-000011,2026-04-01,13,33.61,0.307,2026-04-22
CUST-000011,2026-05-01,8,28.26,0.22,2026-05-15
CUST-000011,2026-06-01,5,29.38,0.207,2026-06-13
CUST-000011,2026-07-01,5,22.34,0.117,2026-07-02
CUST-000011,2026-08-01,4,12.28,0.127,2026-08-01
CUST-000012,2026-03-01,14,36.33,0.531,2026-03-21
CUST-000012,2026-04-01,10,30.89,0.451,2026-04-21
CUST-000012,2026-05-01,9,37.53,0.51,2026-05-16
CUST-000012,2026-06-01,7,35.74,0.497,2026-06-26
CUST-000012,2026-07-01,9,35.89,0.518,2026-07-16
CUST-000012,2026-08-01,7,33.57,0.507,2026-08-09
CUST-000013,2026-03-01,22,41.39,0.376,2026-03-17
CUST-000013,2026-04-01,21,37.15,0.394,2026-04-09
CUST-000013,2026-05-01,27,37.18,0.408,2026-05-27
CUST-000013,2026-06-01,22,42.94,0.39,2026-06-14
CUST-000013,2026-07-01,20,43.22,0.48,2026-07-04
CUST-000013,2026-08-01,26,38.21,0.443,2026-08-09
CUST-000014,2026-03-01,18,22.25,0.333,2026-03-16
CUST-000014,2026-04-01,22,25.98,0.389,2026-04-13
CUST-000014,2026-05-01,21,21.6,0.326,2026-05-04
CUST-000014,2026-06-01,20,14.24,0.359,2026-06-18
CUST-000014,2026-07-01,18,13.53,0.267,2026-07-22
CUST-000014,2026-08-01,22,16.72,0.328,2026-08-19
CUST-000015,2026-03-01,15,33.1,0.736,2026-03-01
CUST-000015,2026-04-01,12,35.69,0.769,2026-04-18
CUST-000015,2026-05-01,15,32.07,0.744,2026-05-21
CUST-000015,2026-06-01,18,37.08,0.744,2026-06-05
CUST-000015,2026-07-01,18,33.36,0.799,2026-07-11
CUST-000015,2026-08-01,17,33.31,0.764,2026-08-12
CUST-000016,2026-03-01,14,20.09,0.566,2026-03-24
CUST-000016,2026-04-01,14,19.5,0.508,2026-04-10
CUST-000016,2026-05-01,9,15.43,0.44,2026-05-21
CUST-000016,2026-06-01,6,16.03,0.373,2026-06-10
CUST-000016,2026-07-01,3,9.91,0.297,2026-07-14
CUST-000016,2026-08-01,5,5.31,0.295,2026-08-20
CUST-000017,2026-03-01,19,16.68,0.382,2026-03-08
CUST-000017,2026-04-01,16,15.79,0.344,2026-04-18
CUST-000017,2026-05-01,20,16.23,0.375,2026-05-10
CUST-000017,2026-06-01,15,17.1,0.38,2026-06-04
CUST-000017,2026-07-01,15,22.62,0.413,2026-07-20
CUST-000017,2026-08-01,19,19.1,0.412,2026-08-19
CUST-000018,2026-03-01,14,29.33,0.404,2026-03-19
CUST-000018,2026-04-01,14,32.92,0.335,2026-04-09
CUST-000018,2026-05-01,13,28.15,0.307,2026-05-03
CUST-000018,2026-06-01,13,21.46,0.249,2026-06-01
CUST-000018,2026-07-01,5,21.85,0.198,2026-07-26
CUST-000018,2026-08-01,5,15.92,0.135,2026-08-22
CUST-000019,2026-03-01,22,36.57,0.676,2026-03-10
CUST-000019,2026-04-01,18,31.28,0.658,2026-04-24
CUST-000019,2026-05-01,20,37.02,0.673,2026-05-26
CUST-000019,2026-06-01,23,33.86,0.639,2026-06-09
CUST-000019,2026-07-01,17,35.63,0.665,2026-07-19
CUST-000019,2026-08-01,15,38.12,0.63,2026-08-04
CUST-000020,2026-03-01,22,26.42,0.495,2026-03-06
CUST-000020,2026-04-01,26,25.98,0.422,2026-04-19
CUST-000020,2026-05-01,20,29.22,0.445,2026-05-25
CUST-000020,2026-06-01,23,28.81,0.483,2026-06-05
CUST-000020,2026-07-01,23,29.53,0.504,2026-07-22
CUST-000020,2026-08-01,19,23.62,0.417,2026-08-11
CUST-000021,2026-03-01,14,13.51,0.795,2026-03-11
CUST-000021,2026-04-01,13,7.73,0.768,2026-04-19
CUST-000021,2026-05-01,16,10.23,0.821,2026-05-12
CUST-000021,2026-06-01,20,10.75,0.749,2026-06-14
CUST-000021,2026-07-01,17,15.47,0.81,2026-07-17
CUST-000021,2026-08-01,18,15.59,0.815,2026-08-23
CUST-000022,2026-03-01,16,43.01,0.431,2026-03-16
CUST-000022,2026-04-01,12,41.87,0.42,2026-04-20
CUST-000022,2026-05-01,13,42.83,0.438,2026-05-06
CUST-000022,2026-06-01,17,43.16,0.472,2026-06-22
CUST-000022,2026-07-01,13,36.78,0.437,2026-07-09
CUST-000022,2026-08-01,16,39.73,0.481,2026-08-26
CUST-000023,2026-03-01,21,21.69,0.627,2026-03-09
CUST-000023,2026-04-01,23,22.03,0.634,2026-04-01
CUST-000023,2026-05-01,22,27.44,0.732,2026-05-05
CUST-000023,2026-06-01,25,21.42,0.637,2026-06-08
CUST-000023,2026-07-01,19,23.28,0.583,2026-07-09
CUST-000023,2026-08-01,29,26.68,0.722,2026-08-01
CUST-000024,2026-03-01,11,32.43,0.479,2026-03-27
CUST-000024,2026-04-01,17,31.18,0.42,2026-04-07
CUST-000024,2026-05-01,12,24.75,0.449,2026-05-17
CUST-000024,2026-06-01,12,23.44,0.394,2026-06-22
CUST-000024,2026-07-01,15,29.43,0.411,2026-07-03
CUST-000024,2026-08-01,12,25.35,0.386,2026-08-07
CUST-000025,2026-03-01,16,36.72,0.643,2026-03-24
CUST-000025,2026-04-01,18,30.5,0.611,2026-04-13
CUST-000025,2026-05-01,17,40.67,0.774,2026-05-21
CUST-000025,2026-06-01,14,34.44,0.686,2026-06-20
CUST-000025,2026-07-01,15,35.8,0.665,2026-07-11
CUST-000025,2026-08-01,15,35.04,0.682,2026-08-23
CUST-000026,2026-03-01,18,21.32,0.358,2026-03-11
CUST-000026,2026-04-01,13,14.04,0.225,2026-04-21
CUST-000026,2026-05-01,14,16.46,0.259,2026-05-16
CUST-000026,2026-06-01,8,17.09,0.269,2026-06-21
CUST-000026,2026-07-01,7,13.6,0.186,2026-07-27
CUST-000026,2026-08-01,10,7.91,0.182,2026-08-08
CUST-000027,2026-03-01,14,16.52,0.432,2026-03-21
CUST-000027,2026-04-01,15,14.77,0.412,2026-04-01
CUST-000027,2026-05-01,3,10.97,0.335,2026-05-17
CUST-000027,2026-06-01,11,9.05,0.302,2026-06-11
CUST-000027,2026-07-01,7,11.38,0.258,2026-07-13
CUST-000027,2026-08-01,7,8.98,0.219,2026-08-25
CUST-000028,2026-03-01,22,19.29,0.424,2026-03-14
CUST-000028,2026-04-01,12,16.13,0.373,2026-04-14
CUST-000028,2026-05-01,18,13.2,0.321,2026-05-09
CUST-000028,2026-06-01,11,9.75,0.285,2026-06-08
CUST-000028,2026-07-01,9,9.7,0.258,2026-07-23
CUST-000028,2026-08-01,5,8.04,0.213,2026-08-09
CUST-000029,2026-03-01,29,55.42,0.714,2026-03-13
CUST-000029,2026-04-01,23,43.71,0.752,2026-04-27
CUST-000029,2026-05-01,21,41.73,0.715,2026-05-04
CUST-000029,2026-06-01,21,44.6,0.707,2026-06-10
CUST-000029,2026-07-01,22,42.97,0.781,2026-07-22
CUST-000029,2026-08-01,24,47.84,0.681,2026-08-22
CUST-000030,2026-03-01,15,36.81,0.741,2026-03-17
CUST-000030,2026-04-01,15,36.37,0.699,2026-04-21
CUST-000030,2026-05-01,17,40.0,0.759,2026-05-23
CUST-000030,2026-06-01,19,31.87,0.649,2026-06-15
CUST-000030,2026-07-01,13,32.88,0.708,2026-07-15
CUST-000030,2026-08-01,17,27.91,0.725,2026-08-05
CUST-000031,2026-03-01,21,37.93,0.78,2026-03-06
CUST-000031,2026-04-01,21,42.06,0.797,2026-04-17
CUST-000031,2026-05-01,18,44.32,0.711,2026-05-07
CUST-000031,2026-06-01,19,41.45,0.722,2026-06-22
CUST-000031,2026-07-01,21,40.93,0.817,2026-07-27
CUST-000031,2026-08-01,23,47.23,0.799,2026-08-01
CUST-000032,2026-03-01,16,36.58,0.353,2026-03-17
CUST-000032,2026-04-01,17,45.72,0.285,2026-04-06
CUST-000032,2026-05-01,13,47.13,0.325,2026-05-10
CUST-000032,2026-06-01,18,48.91,0.337,2026-06-02
CUST-000032,2026-07-01,11,41.26,0.283,2026-07-02
CUST-000032,2026-08-01,17,50.32,0.369,2026-08-13
CUST-000033,2026-03-01,6,20.59,0.503,2026-03-14
CUST-000033,2026-04-01,5,18.23,0.447,2026-04-06
CUST-000033,2026-05-01,6,22.45,0.353,2026-05-06
CUST-000033,2026-06-01,5,13.74,0.3,2026-06-15
CUST-000033,2026-07-01,1,14.49,0.276,2026-07-23
CUST-000033,2026-08-01,4,10.02,0.249,2026-08-19
CUST-000034,2026-03-01,13,15.84,0.628,2026-03-10
CUST-000034,2026-04-01,10,9.15,0.535,2026-04-03
CUST-000034,2026-05-01,10,7.11,0.475,2026-05-13
CUST-000034,2026-06-01,11,15.82,0.417,2026-06-04
CUST-000034,2026-07-01,6,10.09,0.336,2026-07-16
CUST-000034,2026-08-01,4,5.13,0.264,2026-08-08
CUST-000035,2026-03-01,26,24.98,0.476,2026-03-25
CUST-000035,2026-04-01,19,21.16,0.522,2026-04-26
CUST-000035,2026-05-01,24,26.71,0.441,2026-05-11
CUST-000035,2026-06-01,26,21.33,0.509,2026-06-10
CUST-000035,2026-07-01,27,22.39,0.593,2026-07-24
CUST-000035,2026-08-01,22,21.65,0.471,2026-08-03
CUST-000036,2026-03-01,17,21.21,0.478,2026-03-04
CUST-000036,2026-04-01,18,17.24,0.414,2026-04-11
CUST-000036,2026-05-01,15,18.59,0.426,2026-05-08
CUST-000036,2026-06-01,13,13.95,0.289,2026-06-01
CUST-000036,2026-07-01,12,12.31,0.244,2026-07-15
CUST-000036,2026-08-01,8,5.88,0.216,2026-08-27
CUST-000037,2026-03-01,9,44.08,0.6,2026-03-26
CUST-000037,2026-04-01,10,47.96,0.581,2026-04-26
CUST-000037,2026-05-01,13,46.37,0.67,2026-05-05
CUST-000037,2026-06-01,7,40.43,0.598,2026-06-17
CUST-000037,2026-07-01,6,42.07,0.534,2026-07-21
CUST-000037,2026-08-01,7,44.68,0.553,2026-08-15
CUST-000038,2026-03-01,10,26.04,0.73,2026-03-21
CUST-000038,2026-04-01,14,25.95,0.718,2026-04-06
CUST-000038,2026-05-01,17,27.61,0.837,2026-05-23
CUST-000038,2026-06-01,17,23.2,0.757,2026-06-18
CUST-000038,2026-07-01,16,26.25,0.747,2026-07-22
CUST-000038,2026-08-01,17,26.74,0.842,2026-08-24
CUST-000039,2026-03-01,12,17.93,0.755,2026-03-26
CUST-000039,2026-04-01,20,25.13,0.79,2026-04-10
CUST-000039,2026-05-01,17,28.2,0.84,2026-05-26
CUST-000039,2026-06-01,15,21.84,0.71,2026-06-20
CUST-000039,2026-07-01,12,26.26,0.695,2026-07-07
CUST-000039,2026-08-01,17,20.63,0.743,2026-08-17
CUST-000040,2026-03-01,17,35.73,0.465,2026-03-24
CUST-000040,2026-04-01,17,38.8,0.448,2026-04-18
CUST-000040,2026-05-01,17,33.82,0.413,2026-05-24
CUST-000040,2026-06-01,19,36.99,0.438,2026-06-26
CUST-000040,2026-07-01,16,37.54,0.423,2026-07-23
CUST-000040,2026-08-01,17,33.84,0.446,2026-08-02
CUST-000041,2026-03-01,12,22.94,0.555,2026-03-22
CUST-000041,2026-04-01,10,14.51,0.506,2026-04-03
CUST-000041,2026-05-01,9,18.25,0.452,2026-05-07
CUST-000041,2026-06-01,1,13.59,0.392,2026-06-27
CUST-000041,2026-07-01,0,11.23,0.262,2026-07-25
CUST-000041,2026-08-01,8,10.36,0.252,2026-08-25
CUST-000042,2026-03-01,10,34.64,0.801,2026-03-27
CUST-000042,2026-04-01,8,37.45,0.773,2026-04-15
CUST-000042,2026-05-01,10,31.68,0.839,2026-05-03
CUST-000042,2026-06-01,8,31.95,0.799,2026-06-27
CUST-000042,2026-07-01,7,29.92,0.797,2026-07-06
CUST-000042,2026-08-01,12,33.65,0.725,2026-08-08
CUST-000043,2026-03-01,27,40.07,0.767,2026-03-27
CUST-000043,2026-04-01,25,39.52,0.719,2026-04-15
CUST-000043,2026-05-01,22,35.31,0.655,2026-05-15
CUST-000043,2026-06-01,25,34.86,0.719,2026-06-17
CUST-000043,2026-07-01,24,34.04,0.656,2026-07-01
CUST-000043,2026-08-01,22,33.79,0.646,2026-08-22
CUST-000044,2026-03-01,13,32.48,0.753,2026-03-04
CUST-000044,2026-04-01,14,34.4,0.671,2026-04-14
CUST-000044,2026-05-01,10,29.81,0.542,2026-05-09
CUST-000044,2026-06-01,9,25.41,0.449,2026-06-09
CUST-000044,2026-07-01,7,19.54,0.385,2026-07-09
CUST-000044,2026-08-01,3,16.31,0.362,2026-08-18
CUST-000045,2026-03-01,19,44.7,0.388,2026-03-16
CUST-000045,2026-04-01,26,43.83,0.371,2026-04-21
CUST-000045,2026-05-01,18,47.03,0.362,2026-05-12
CUST-000045,2026-06-01,20,44.53,0.347,2026-06-20
CUST-000045,2026-07-01,23,41.37,0.339,2026-07-17
CUST-000045,2026-08-01,22,46.87,0.374,2026-08-20
CUST-000046,2026-03-01,25,38.35,0.779,2026-03-19
CUST-000046,2026-04-01,28,37.42,0.833,2026-04-13
CUST-000046,2026-05-01,23,41.77,0.775,2026-05-04
CUST-000046,2026-06-01,25,32.61,0.811,2026-06-09
CUST-000046,2026-07-01,26,36.36,0.833,2026-07-10
CUST-000046,2026-08-01,25,33.63,0.854,2026-08-23
CUST-000047,2026-03-01,11,32.99,0.334,2026-03-08
CUST-000047,2026-04-01,12,24.5,0.235,2026-04-10
CUST-000047,2026-05-01,11,21.4,0.232,2026-05-18
CUST-000047,2026-06-01,8,22.84,0.157,2026-06-14
CUST-000047,2026-07-01,13,14.58,0.192,2026-07-11
CUST-000047,2026-08-01,5,15.02,0.163,2026-08-15
CUST-000048,2026-03-01,15,35.87,0.349,2026-03-14
CUST-000048,2026-04-01,15,22.03,0.273,2026-04-11
CUST-000048,2026-05-01,13,28.0,0.261,2026-05-14
CUST-000048,2026-06-01,12,19.66,0.214,2026-06-03
CUST-000048,2026-07-01,9,16.26,0.228,2026-07-25
CUST-000048,2026-08-01,7,16.29,0.136,2026-08-13
CUST-000049,2026-03-01,15,13.88,0.406,2026-03-18
CUST-000049,2026-04-01,23,14.44,0.397,2026-04-19
CUST-000049,2026-05-01,17,9.58,0.371,2026-05-25
CUST-000049,2026-06-01,18,7.68,0.369,2026-06-01
CUST-000049,2026-07-01,20,9.34,0.46,2026-07-12
CUST-000049,2026-08-01,13,18.98,0.361,2026-08-04
CUST-000050,2026-03-01,9,26.14,0.571,2026-03-21
CUST-000050,2026-04-01,6,24.59,0.505,2026-04-10
CUST-000050,2026-05-01,6,23.38,0.41,2026-05-23
CUST-000050,2026-06-01,7,18.37,0.354,2026-06-23
CUST-000050,2026-07-01,5,15.08,0.324,2026-07-18
CUST-000050,2026-08-01,4,10.74,0.267,2026-08-10
CUST-000051,2026-03-01,12,37.05,0.283,2026-03-10
CUST-000051,2026-04-01,12,35.34,0.257,2026-04-07
CUST-000051,2026-05-01,6,32.12,0.226,2026-05-26
CUST-000051,2026-06-01,7,21.73,0.222,2026-06-20
CUST-000051,2026-07-01,7,21.07,0.157,2026-07-23
CUST-000051,2026-08-01,0,12.18,0.104,2026-08-16
CUST-000052,2026-03-01,8,26.32,0.635,2026-03-02
CUST-000052,2026-04-01,7,22.91,0.589,2026-04-21
CUST-000052,2026-05-01,7,12.22,0.485,2026-05-05
CUST-000052,2026-06-01,1,18.76,0.454,2026-06-23
CUST-000052,2026-07-01,3,9.78,0.423,2026-07-09
CUST-000052,2026-08-01,3,10.22,0.273,2026-08-20
CUST-000053,2026-03-01,8,43.54,0.436,2026-03-15
CUST-000053,2026-04-01,8,36.38,0.442,2026-04-21
CUST-000053,2026-05-01,7,39.58,0.467,2026-05-10
CUST-000053,2026-06-01,10,51.25,0.474,2026-06-21
CUST-000053,2026-07-01,10,46.3,0.461,2026-07-12
CUST-000053,2026-08-01,10,46.55,0.417,2026-08-25
CUST-000054,2026-03-01,10,13.47,0.473,2026-03-21
CUST-000054,2026-04-01,11,12.47,0.413,2026-04-06
CUST-000054,2026-05-01,11,12.1,0.524,2026-05-17
CUST-000054,2026-06-01,8,10.1,0.582,2026-06-17
CUST-000054,2026-07-01,6,14.39,0.485,2026-07-16
CUST-000054,2026-08-01,8,12.23,0.49,2026-08-05
CUST-000055,2026-03-01,15,28.36,0.78,2026-03-08
CUST-000055,2026-04-01,12,32.31,0.861,2026-04-25
CUST-000055,2026-05-01,12,32.94,0.785,2026-05-12
CUST-000055,2026-06-01,15,35.25,0.838,2026-06-19
CUST-000055,2026-07-01,17,31.03,0.89,2026-07-25
CUST-000055,2026-08-01,12,34.12,0.829,2026-08-12
CUST-000056,2026-03-01,22,23.25,0.329,2026-03-09
CUST-000056,2026-04-01,22,24.17,0.348,2026-04-03
CUST-000056,2026-05-01,24,25.31,0.443,2026-05-19
CUST-000056,2026-06-01,19,18.66,0.267,2026-06-21
CUST-000056,2026-07-01,21,27.44,0.361,2026-07-01
CUST-000056,2026-08-01,23,27.43,0.345,2026-08-19
CUST-000057,2026-03-01,15,16.88,0.781,2026-03-24
CUST-000057,2026-04-01,14,17.68,0.74,2026-04-02
CUST-000057,2026-05-01,11,15.96,0.719,2026-05-07
CUST-000057,2026-06-01,18,21.18,0.79,2026-06-01
CUST-000057,2026-07-01,12,13.62,0.723,2026-07-03
CUST-000057,2026-08-01,11,17.45,0.756,2026-08-10
CUST-000058,2026-03-01,12,17.34,0.33,2026-03-05
CUST-000058,2026-04-01,13,11.34,0.298,2026-04-10
CUST-000058,2026-05-01,11,10.9,0.381,2026-05-20
CUST-000058,2026-06-01,10,13.78,0.301,2026-06-16
CUST-000058,2026-07-01,12,18.29,0.324,2026-07-20
CUST-000058,2026-08-01,7,18.68,0.314,2026-08-24
CUST-000059,2026-03-01,8,19.22,0.505,2026-03-07
CUST-000059,2026-04-01,12,14.28,0.573,2026-04-10
CUST-000059,2026-05-01,10,14.91,0.441,2026-05-09
CUST-000059,2026-06-01,11,14.27,0.479,2026-06-12
CUST-000059,2026-07-01,9,15.53,0.515,2026-07-12
CUST-000059,2026-08-01,12,16.13,0.424,2026-08-01
CUST-000060,2026-03-01,17,29.48,0.598,2026-03-09
CUST-000060,2026-04-01,15,28.13,0.493,2026-04-16
CUST-000060,2026-05-01,11,31.54,0.455,2026-05-20
CUST-000060,2026-06-01,12,23.55,0.379,2026-06-24
CUST-000060,2026-07-01,7,16.08,0.359,2026-07-02
CUST-000060,2026-08-01,8,16.15,0.271,2026-08-14
CUST-000061,2026-03-01,12,35.12,0.879,2026-03-02
CUST-000061,2026-04-01,13,40.18,0.87,2026-04-24
CUST-000061,2026-05-01,16,31.34,0.856,2026-05-22
CUST-000061,2026-06-01,13,28.66,0.818,2026-06-05
CUST-000061,2026-07-01,12,32.78,0.811,2026-07-26
CUST-000061,2026-08-01,10,37.46,0.798,2026-08-05
CUST-000062,2026-03-01,9,21.19,0.542,2026-03-10
CUST-000062,2026-04-01,8,17.51,0.446,2026-04-23
CUST-000062,2026-05-01,7,20.18,0.398,2026-05-22
CUST-000062,2026-06-01,6,14.84,0.416,2026-06-06
CUST-000062,2026-07-01,8,16.45,0.263,2026-07-02
CUST-000062,2026-08-01,3,8.45,0.165,2026-08-06
CUST-000063,2026-03-01,11,25.42,0.664,2026-03-23
CUST-000063,2026-04-01,5,27.78,0.662,2026-04-06
CUST-000063,2026-05-01,7,21.92,0.58,2026-05-09
CUST-000063,2026-06-01,10,26.25,0.671,2026-06-12
CUST-000063,2026-07-01,7,25.51,0.596,2026-07-23
CUST-000063,2026-08-01,7,24.05,0.676,2026-08-05
CUST-000064,2026-03-01,15,31.67,0.564,2026-03-18
CUST-000064,2026-04-01,15,25.78,0.575,2026-04-02
CUST-000064,2026-05-01,14,31.91,0.598,2026-05-08
CUST-000064,2026-06-01,19,33.6,0.559,2026-06-27
CUST-000064,2026-07-01,19,30.48,0.598,2026-07-22
CUST-000064,2026-08-01,14,24.33,0.487,2026-08-04
CUST-000065,2026-03-01,18,14.07,0.62,2026-03-24
CUST-000065,2026-04-01,19,15.57,0.627,2026-04-02
CUST-000065,2026-05-01,19,14.95,0.576,2026-05-26
CUST-000065,2026-06-01,22,13.1,0.635,2026-06-17
CUST-000065,2026-07-01,17,17.41,0.577,2026-07-22
CUST-000065,2026-08-01,17,13.47,0.582,2026-08-09
CUST-000066,2026-03-01,12,18.69,0.554,2026-03-08
CUST-000066,2026-04-01,7,14.71,0.574,2026-04-18
CUST-000066,2026-05-01,13,13.41,0.555,2026-05-12
CUST-000066,2026-06-01,8,15.2,0.592,2026-06-13
CUST-000066,2026-07-01,10,18.14,0.625,2026-07-12
CUST-000066,2026-08-01,11,16.2,0.589,2026-08-15
CUST-000067,2026-03-01,18,43.55,0.458,2026-03-07
CUST-000067,2026-04-01,20,34.4,0.446,2026-04-17
CUST-000067,2026-05-01,15,39.38,0.384,2026-05-02
CUST-000067,2026-06-01,20,37.57,0.422,2026-06-22
CUST-000067,2026-07-01,20,43.13,0.371,2026-07-06
CUST-000067,2026-08-01,19,37.3,0.432,2026-08-06
CUST-000068,2026-03-01,14,12.81,0.39,2026-03-27
CUST-000068,2026-04-01,10,12.26,0.309,2026-04-01
CUST-000068,2026-05-01,13,9.94,0.303,2026-05-24
CUST-000068,2026-06-01,7,10.08,0.284,2026-06-24
CUST-000068,2026-07-01,5,7.37,0.221,2026-07-21
CUST-000068,2026-08-01,4,10.55,0.184,2026-08-26
CUST-000069,2026-03-01,22,9.97,0.66,2026-03-15
CUST-000069,2026-04-01,18,13.43,0.586,2026-04-20
CUST-000069,2026-05-01,20,15.49,0.43,2026-05-05
CUST-000069,2026-06-01,15,7.79,0.467,2026-06-27
CUST-000069,2026-07-01,15,5.28,0.339,2026-07-02
CUST-000069,2026-08-01,9,5.5,0.304,2026-08-23
CUST-000070,2026-03-01,18,18.51,0.607,2026-03-22
CUST-000070,2026-04-01,15,15.42,0.501,2026-04-13
CUST-000070,2026-05-01,14,14.14,0.488,2026-05-24
CUST-000070,2026-06-01,12,12.02,0.425,2026-06-09
CUST-000070,2026-07-01,11,14.53,0.3,2026-07-12
CUST-000070,2026-08-01,7,5.42,0.265,2026-08-01
CUST-000071,2026-03-01,14,11.08,0.651,2026-03-21
CUST-000071,2026-04-01,14,13.06,0.55,2026-04-15
CUST-000071,2026-05-01,11,13.53,0.484,2026-05-19
CUST-000071,2026-06-01,11,7.96,0.46,2026-06-08
CUST-000071,2026-07-01,6,11.25,0.386,2026-07-27
CUST-000071,2026-08-01,9,5.88,0.281,2026-08-01
CUST-000072,2026-03-01,19,27.17,0.569,2026-03-20
CUST-000072,2026-04-01,19,19.68,0.52,2026-04-22
CUST-000072,2026-05-01,15,15.05,0.415,2026-05-18
CUST-000072,2026-06-01,15,18.91,0.403,2026-06-09
CUST-000072,2026-07-01,12,14.59,0.326,2026-07-07
CUST-000072,2026-08-01,9,6.47,0.23,2026-08-25
CUST-000073,2026-03-01,13,16.06,0.578,2026-03-23
CUST-000073,2026-04-01,13,14.88,0.654,2026-04-15
CUST-000073,2026-05-01,11,20.13,0.627,2026-05-02
CUST-000073,2026-06-01,10,17.37,0.522,2026-06-05
CUST-000073,2026-07-01,7,15.17,0.626,2026-07-19
CUST-000073,2026-08-01,18,22.68,0.639,2026-08-20
CUST-000074,2026-03-01,16,42.75,0.454,2026-03-07
CUST-000074,2026-04-01,15,39.5,0.448,2026-04-01
CUST-000074,2026-05-01,16,38.63,0.496,2026-05-27
CUST-000074,2026-06-01,13,41.03,0.458,2026-06-26
CUST-000074,2026-07-01,13,43.43,0.496,2026-07-27
CUST-000074,2026-08-01,15,40.18,0.547,2026-08-26
CUST-000075,2026-03-01,20,27.96,0.774,2026-03-19
CUST-000075,2026-04-01,14,22.32,0.645,2026-04-06
CUST-000075,2026-05-01,16,30.93,0.814,2026-05-07
CUST-000075,2026-06-01,15,26.7,0.78,2026-06-02
CUST-000075,2026-07-01,15,23.38,0.774,2026-07-18
